"";"profit_t1";"profit_t2"
"618";7;-6
"619";-1;1
"620";2;-7
"621";10;2
"622";2;6
"623";0;-1
"624";10;1
"625";-2;11
"626";0;0
"627";2;-7
"628";-6;-1
"629";-2;-2
"630";-3;-3
"631";-7;-7
"632";5;0
"633";-2;-1
"634";3;2
"635";3;-2
"636";-3;5
"637";-3;-1
"638";-1;-1
"639";5;5
"640";7;9
"641";4;0
"642";6;0
"643";-2;3
"644";1;-1
"645";3;4
"646";-1;-2
"647";0;-6
"648";0;-3
"649";6;-5
"650";4;-1
"651";2;4
"652";1;0
"653";0;0
"654";-5;-1
"655";2;1
"656";6;-1
"657";9;0
"658";-5;-5
"659";-2;2
"660";0;5
"661";-4;2
"662";3;4
"663";2;0
"664";-3;1
"665";-2;1
"666";-3;1
"667";6;11
"668";0;4
"669";2;-1
"670";-2;-2
"671";-3;0
"672";4;0
"673";2;0
"674";-4;-6
"675";1;-2
"676";-1;-3
"677";-2;0
"678";3;-3
"679";-1;1
"680";3;3
"681";6;2
"682";-8;-6
"683";-3;0
"684";-3;0
"685";-2;2
"686";-1;-4
"687";-2;0
"688";-2;0
"689";0;-6
"690";2;2
"691";-5;1
"692";7;1
"693";-4;-4
"694";-5;8
"695";2;10
"696";-2;1
"697";-5;0
"698";-3;-1
"699";-5;1
"700";0;0
"701";-2;1
"702";-3;-1
"703";3;-4
"704";4;-3
"705";0;3
"706";3;2
"707";1;-2
"708";4;0
"709";-7;-5
"710";6;4
"711";7;0
"712";7;5
"713";9;5
"714";1;0
"715";-6;-6
"716";-5;-1
"717";7;0
"718";-5;-1
"719";2;1
"720";1;9
"721";-1;-8
"722";0;-3
"723";2;-10
"724";10;0
"725";4;-2
"726";9;10
"727";-6;-2
"728";3;-5
"729";0;-6
"730";5;0
"731";5;-8
"732";0;3
"733";-1;-2
"734";3;5
"735";-5;0
"736";6;7
"737";-1;-1
"738";5;1
"739";-1;0
"740";-3;0
"741";6;1
"742";1;-8
"743";-2;-5
"744";11;1
"745";10;8
"746";-4;-2
"747";3;-4
"748";2;-7
"749";-1;-2
"750";0;5
"751";7;2
"752";-2;0
"753";0;2
"754";-7;4
"755";-2;9
"756";0;-2
"757";10;10
"758";5;7
"759";-4;7
"760";4;0
"761";1;-6
"762";2;-1
"763";6;-2
"764";9;0
"765";5;8
"766";1;10
"767";5;2
"768";8;0
"769";-1;6
"770";-6;0
"771";3;-2
"772";3;0
"773";-1;-6
"774";0;6
"775";11;-1
"776";-5;2
"777";-5;-4
"778";5;7
"779";-1;1
"780";-4;0
"781";3;-2
"782";0;-8
"783";0;-3
"784";2;6
"785";0;4
"786";1;1
"787";0;-4
"788";3;-1
"789";4;10
"790";-1;0
"791";-2;-1
"792";1;-1
"793";-1;-4
"794";-1;3
"795";-3;-4
"796";1;-1
"797";0;3
"798";-5;0
"799";-1;0
"800";2;-4
"801";-1;6
"802";6;2
"803";4;0
"804";-1;1
"805";1;0
"806";4;0
"807";2;-2
"808";-5;-3
"809";1;-5
"810";2;-2
"811";3;1
"812";-3;1
"813";8;6
"814";-1;3
"815";-3;-8
"816";-4;3
"817";-1;-1
"818";-1;4
"819";3;2
"820";1;0
"821";-1;-1
"822";-3;-1
"823";1;-1
"824";-1;5
"825";-4;2
"826";1;1
"827";3;5
"828";-7;2
"829";3;-1
"830";-3;1
"831";-1;3
"832";3;-6
"833";5;-3
"834";3;-5
"835";3;1
"836";1;-5
"837";-5;-5
"838";-4;-7
"839";6;2
"840";-5;-4
"841";6;-1
"842";3;-1
"843";0;3
"844";-9;-8
"845";2;-4
"846";3;2
"847";-4;-1
"848";5;-5
"849";-6;-4
"850";0;0
"851";4;0
"852";-2;0
"853";-1;3
"854";9;0
"855";-5;5
"856";-3;1
"857";1;-3
"858";1;1
"859";4;0
"860";2;-5
"861";-3;-6
"862";6;5
"863";6;-8
"864";-2;7
"865";-6;-3
"866";10;0
"867";6;-1
"868";8;-1
"869";-1;-1
"870";-1;1
"871";-5;0
"872";-5;-2
"873";-4;3
"874";2;-3
"875";0;6
"876";3;-7
"877";-6;-7
"878";-5;-7
"879";-2;0
"880";-2;0
"881";-6;-4
"882";0;-6
"883";-3;7
"884";-1;0
"885";-4;5
"886";3;9
"887";0;0
"888";7;-6
"889";1;-3
"890";-1;-3
"891";7;2
"892";4;0
"893";1;-6
"894";-4;-2
"895";2;-3
"896";-3;-1
"897";5;-1
"898";-1;6
"899";-1;7
"900";-1;3
"901";-7;0
"902";-4;-1
"903";0;-4
"904";4;5
"905";4;-9
"906";-5;8
"907";5;11
"908";3;2
"909";3;2
"910";5;10
"911";-1;4
"912";-6;-5
"913";2;5
"914";1;7
"915";4;-6
"916";-8;1
"917";2;-3
"918";-1;-3
"919";1;0
"920";5;7
"921";3;2
"922";3;-1
"923";5;-1
"924";3;-3
"925";-1;1
"926";1;4
"927";-3;0
"928";-1;-3
"929";1;-5
"930";-3;5
"931";-1;3
"932";3;-1
"933";-3;-5
"934";3;-3
"935";1;3
"936";-8;-2
"937";-1;1
"938";3;5
"939";-3;3
"940";1;-1
"941";-3;1
"942";1;6
"943";-3;-1
"944";1;2
"945";-4;-9
"946";3;3
"947";7;4
"948";-1;-1
"949";1;-3
"950";-3;3
"951";-5;1
"952";3;0
"953";1;-3
"954";1;-1
"955";-3;-1
"956";-1;-1
"957";-1;3
"958";1;3
"959";3;3
"960";-1;-1
"961";-1;1
"962";-3;-5
"963";-1;4
"964";5;-3
"965";5;1
"966";-3;-3
"967";5;1
"968";3;5
"969";5;-1
"970";-3;-5
"971";0;-8
"972";5;-5
"973";1;10
"974";5;7
"975";1;7
"976";7;6
"977";-1;-5
"978";-1;1
"979";1;5
"980";2;-2
"981";-5;-2
"982";2;2
"983";5;5
"984";6;9
"985";1;-1
"986";-6;4
"987";-1;-2
"988";7;0
"989";3;-1
"990";-8;5
"991";6;0
"992";8;0
"993";-1;2
"994";-3;6
"995";10;10
"996";-3;-3
"997";3;3
"998";-3;3
"999";3;0
"1000";1;6
"1001";4;0
"1002";8;8
"1003";6;1
"1004";-3;1
"1005";-3;-7
"1006";1;0
"1007";-6;-7
"1008";-1;1
"1009";-6;-1
"1010";3;0
"1011";-2;-5
"1012";-3;-2
"1013";-3;-1
"1014";-1;-2
"1015";1;5
"1016";8;3
"1017";-1;9
"1018";-5;7
"1019";5;0
"1020";3;2
"1021";9;3
"1022";0;5
"1023";5;0
"1024";3;-1
"1025";2;0
"1026";6;1
"1027";-6;-4
"1028";1;3
"1029";-2;6
"1030";4;0
"1031";-1;5
"1032";-5;3
"1033";-5;2
"1034";1;-5
"1035";-2;-8
"1036";-1;4
"1037";0;7
"1038";0;9
"1039";-4;11
"1040";-1;0
"1041";3;-2
"1042";-5;-5
"1043";-1;0
"1044";3;-4
"1045";-5;-2
"1046";-2;-2
"1047";-6;-9
"1048";1;-2
"1049";6;-5
"1050";-6;-1
"1051";-3;-5
"1052";0;-4
"1053";2;2
"1054";-1;-8
"1055";7;6
"1056";-1;5
"1057";1;-3
"1058";10;-9
"1059";-1;3
"1060";2;2
"1061";-6;6
"1062";-1;1
"1063";-2;4
"1064";3;8
"1065";9;-6
"1066";1;4
"1067";8;1
"1068";1;-5
"1069";-10;-7
"1070";-1;-1
"1071";1;-9
"1072";2;2
"1073";0;0
"1074";-2;2
"1075";-3;0
"1076";4;-9
"1077";-2;0
"1078";3;-1
"1079";8;4
"1080";1;1
"1081";-1;3
"1082";-5;3
"1083";-1;-1
"1084";3;1
"1085";-4;2
"1086";1;-3
"1087";3;1
"1088";-5;10
"1089";5;5
"1090";3;-3
"1091";0;1
"1092";-3;1
"1093";3;-1
"1094";1;1
"1095";-1;1
"1096";-1;-3
"1097";-3;0
"1098";1;-2
"1099";-3;6
"1100";-1;9
"1101";-3;-3
"1102";6;1
"1103";-3;-4
"1104";3;3
"1105";3;3
"1106";3;1
"1107";1;1
"1108";-1;3
"1109";5;-3
"1110";-3;-1
"1111";0;-4
"1112";1;-1
"1113";3;-9
"1114";-1;-5
"1115";3;1
"1116";1;1
"1117";6;-1
"1118";1;3
"1119";-1;-1
"1120";1;-1
"1121";-1;-1
"1122";-1;-3
"1123";3;-5
"1124";-5;2
"1125";0;-9
"1126";-3;-3
