"";"Player";"Team";"R";"ACS";"K.D";"KAST";"ADR";"Elo"
"hyjinx";"hyjinx";"TK A";0,88;204,9;0,91;65;130,1;2
"Mendo";"Mendo";"Prospects";0,88;199,5;0,83;69;123,4;2
"ChromnZ";"ChromnZ";"uG";0,88;223;0,87;63;150,2;3
"Nomama";"Nomama";"Ka4";0,88;211,3;0,77;60;136,1;2
"drago";"drago";"SH";0,88;184,3;0,9;70;118,3;2
"barce";"barce";"ZETA";0,88;178;0,98;70;114,8;2
"Slash";"Slash";"CHU";0,88;172,2;0,84;60;114,6;2
"rexxtoned";"rexxtoned";"Oxuj";0,88;193,3;0,88;67;126,4;2
"ableJ";"ableJ";"FUR";0,88;167,7;0,83;68;112,4;2
"Layla";"Layla";"BAAM";0,88;202;0,91;66;131,4;3
"splinter";"splinter";"NOM.JR";0,88;205,1;0,89;63;128,2;2
"bRAAHH";"bRAAHH";"GMT";0,88;169,6;0,82;68;107;2
"alfin";"alfin";"AVM";0,88;174,7;0,87;63;112,7;2
"Noomi";"Noomi";"G.G";0,88;208,4;1,03;70;121;3
"amidib";"amidib";"TC";0,88;176;0,89;64;116,8;2
"MORFAN";"MORFAN";"NOM";0,88;191,4;0,91;65;124,9;2
"Desiree";"Desiree";"ITB.P";0,88;165,4;0,81;65;112,8;2
"xcool";"xcool";"X10";0,88;177,2;0,86;67;112,5;2
"Leon";"Leon";"CGN";0,88;165,7;0,8;69;111,3;2
"kero";"kero";"BBL";0,88;167,2;0,78;72;111,2;2
"Maddie";"Maddie";"GX3";0,88;204,9;0,86;68;133,8;3
"Tiki";"Tiki";"DR";0,88;200,7;0,79;68;134,9;2
"Aclx";"Aclx";"LJG";0,88;205,1;0,81;66;135,9;2
"kay";"kay";"Sanr";0,88;190,2;0,87;66;127;2
"Kosmos";"Kosmos";"M5";0,88;161,5;0,73;68;104,6;2
"sogo";"sogo";"Valo";0,88;204,1;0,88;63;134,9;2
"Noku";"Noku";"3VN";0,88;210,4;0,84;59;130,1;2
"RoaN";"RoaN";"SNX";0,88;182,7;0,85;67;122,4;2
"hybrid";"hybrid";"IWC";0,88;179,2;0,87;65;118,5;2
"Lumo";"Lumo";"EVA";0,88;198;0,87;73;129,5;3
"Sergio";"Sergio";"Kitchens";0,88;167,6;0,82;68;115,6;2
"Rexs";"Rexs";"GG";0,88;186,4;0,86;67;121,3;2
"Annie";"Annie";"Case";0,88;182,7;0,88;66;121,9;2
"Fluke";"Fluke";"Mc";0,88;188,2;0,87;68;127,8;2
"NaS";"NaS";"NSR";0,88;211;0,86;64;141,5;3
"giacomiN";"giacomiN";"TBK";0,88;175,9;0,86;68;118,3;2
"Minimise";"Minimise";"BONK";0,88;186,5;0,86;67;121,8;2
"BeYours";"BeYours";"TA";0,88;173,4;0,85;69;113,5;2
"graphix";"graphix";"IVY";0,88;179,5;0,7;63;114,7;2
"lya";"lya";"cher";0,88;180,9;0,81;66;118,2;2
"ratatoulyse";"ratatoulyse";"SMG";0,88;197,9;0,86;63;140,2;2
"Jamie";"Jamie";"We D";0,88;183,9;0,84;68;117;2
"Hasaa";"Hasaa";"SMP";0,88;179;0,87;68;118;2
"Jiex";"Jiex";"UP.F";0,88;193,6;0,89;68;127,9;2
"Tuli";"Tuli";"9z";0,88;211,2;0,87;62;140;3
"zhar";"zhar";"Hike";0,88;181,5;0,86;66;116,9;2
"Shora";"Shora";"zest";0,88;193,5;0,82;63;132,2;2
"nmutuA";"nmutuA";"SMF";0,88;165,7;0,8;68;110,4;2
"Roop";"Roop";"TSI";0,88;177,3;0,85;68;115,9;2
"Waaalty";"Waaalty";"K10";0,88;186,8;0,86;66;124,2;2
"Moechilla";"Moechilla";"STORM";0,88;175,6;0,83;67;115,6;2
"Shazeon";"Shazeon";"CGN";0,88;181,6;0,86;67;123;2
"Akira";"Akira";"EGN";0,88;181,7;0,86;66;122,4;2
"LeeoLoos";"LeeoLoos";"REiG";0,88;174;0,81;68;115,9;2
"s4id";"s4id";"325";0,88;192,9;0,86;65;122,5;2
"daiK";"daiK";"FC";0,88;202,9;0,84;66;133,7;2
"Insane";"Insane";"WAY";0,88;176,9;0,8;68;121,6;2
"Pixelzz";"Pixelzz";"RGE";0,88;180,4;0,85;66;118,1;2
"Bawn";"Bawn";"TR";0,88;194,8;0,85;64;133,3;2
"ShoukR";"ShoukR";"BBGA";0,88;193,8;0,88;65;126,9;2
"bnwyarb";"bnwyarb";"XIA";0,88;182,2;0,82;68;112,9;2
"NeXie";"NeXie";"VCTR";0,88;201,4;0,88;64;126,8;2
"m1tez";"m1tez";"GAL";0,88;205,2;0,95;66;130,3;3
"X10X";"10X";"E36";0,88;187,5;0,91;67;121,9;2
"cataLina";"cataLina";"XL.GC";0,88;189,3;0,9;67;125,7;2
"lekyy";"lekyy";"NPB";0,88;199,2;0,79;63;129,8;2
"Awkua";"Awkua";"Proj";0,88;179,8;0,83;68;118,2;2
"waifu";"waifu";"AKV";0,88;205,4;0,93;64;139,8;3
"X9er";"9er";"Carl";0,88;178,3;0,97;67;115,1;2
"Reptar";"Reptar";"TSM.X";0,88;190,8;0,86;71;128,2;2
"Mashmello";"Mashmello";"DAYN";0,88;191,5;0,9;65;123,7;2
"Tak1";"Tak1";"Rise";0,88;171,9;0,81;70;114,5;2
"maithority";"maithority";"UYU";0,88;179,1;0,8;66;117,8;2
"Sway";"Sway";"Coul";0,88;204,2;0,9;64;131,1;2
"diaamond";"diaamond";"SOR";0,88;181,4;0,83;69;118,1;2
"Guardy";"Guardy";"KPI";0,88;188,8;0,83;68;125,6;2
"mikshak";"mikshak";"Hype";0,88;181,1;0,88;66;122;2
"Puffy";"Puffy";"ITB.P";0,88;187,5;0,82;66;130,8;2
"Marky";"Marky";"TGH";0,88;215,3;0,9;60;140,6;3
"truk";"truk";"We D";0,88;191,8;0,83;67;131,5;2
"cowffee";"cowffee";"FG";0,88;167,5;0,83;69;103,5;2
"Liz";"Liz";"PING";0,88;167,4;0,79;68;116,1;2
"tellfeenzo";"tellfeenzo";"Team";0,88;204,6;0,88;63;133,8;2
"Sympul";"Sympul";"ex-R5";0,88;174,3;0,83;67;117,8;2
"Cartier";"Cartier";"L9";0,88;197,8;0,89;62;126,3;2
"X66J";"66J";"TFT";0,88;189,1;0,85;65;132,7;2
"Zez0h";"Zez0h";"Drag";0,88;196,3;0,72;68;124,5;2
"maz";"maz";"PRDX";0,88;194,8;0,94;67;125,4;2
"HIA";"HIA";"CD";0,88;207,3;0,92;63;139,3;3
"Subiboo";"Subiboo";"DPC";0,88;184,2;0,92;64;128,1;2
"JoBa";"JoBa";"DNAD";0,88;178,4;0,86;67;118,7;2
"z7eus";"z7eus";"EnRo";0,88;179,8;0,84;68;117,5;2
"DiMAS";"DiMAS";"OIP";0,88;184,5;0,87;65;123,7;2
"roza";"roza";"XLE";0,88;225,8;0,92;72;145,2;3
"MattZ";"MattZ";"New";0,88;204,1;0,91;63;135,7;3
"Morgausse";"Morgausse";"N8V";0,88;184,1;0,84;66;123;2
"Miiizzy";"Miiizzy";"Intr";0,88;220,5;0,89;61;145,1;3
"doAm";"doAm";"WYG";0,88;175,7;0,8;69;113,7;2
"F4INT";"F4INT";"Peep";0,88;199,1;0,87;71;133;3
"Chainyz";"Chainyz";"PLM";0,88;181,9;0,85;69;115,8;2
"MTE";"MTE";"DRM";0,88;225,7;0,88;59;147,9;3
"psyc0";"psyc0";"MLC";0,88;196,7;0,81;67;129,6;2
"Basma";"Basma";"FLC.V";0,88;158,1;0,82;67;104;2
"Thigwrb";"Thigwrb";"Elys";0,88;193;0,86;66;130,4;2
"Marin";"Marin";"CSE";0,88;174;0,82;67;114,6;2
"cjh";"cjh";"GG";0,88;208,6;0,83;70;135,3;3
"Felix.1";"Felix";"DSP";0,88;164,3;0,81;70;111,2;2
"Gcxxi";"Gcxxi";"AOE";0,88;195,6;0,9;62;129,8;2
"bishop";"bishop";"BIG";0,88;172,8;0,8;66;113;2
"kenobi";"kenobi";"Z10";0,88;177,6;0,85;68;117;2
"EDiMkAtaNa";"EDiMkAtaNa";"FF";0,88;167,4;0,75;67;117,8;2
"Chwepes";"Chwepes";"MJY";0,88;186,8;0,88;66;120,5;2
"BRLE";"BRLE";"KMK";0,88;189,6;0,84;66;123,6;2
"Add3r";"Add3r";"DNAD";0,88;189,5;0,85;65;124,9;2
"puggy";"puggy";"NÖF";0,88;183,3;0,81;67;125,6;2
"celinett";"celinett";"B4A";0,88;174,7;0,84;70;117,2;2
"Ckanic";"Ckanic";"GGO";0,88;180,8;0,85;69;120,7;2
"womGrath";"womGrath";"NXL";0,88;174,6;0,8;59;120,5;2
"Piniu";"Piniu";"INFX";0,88;159,8;0,74;60;109,6;1
"Ghost.1";"Ghost";"Balk";0,88;184,6;0,74;54;122,3;2
"Kero";"Kero";"BVD";0,88;176,7;0,8;67;113,6;2
"citrous";"citrous";"No C";0,88;175,4;0,83;58;107,6;2
"pepa";"pepa";"Seal";0,88;200,2;0,91;68;131,6;3
"IamKimyy";"IamKimyy";"FG";0,88;215;0,84;59;138,6;2
"Alejo";"Alejo";"Vi4";0,88;169,8;0,89;70;109,9;2
"sens3i";"sens3i";"LE";0,88;195,2;0,88;64;128,3;2
"Kuaresma";"Kuaresma";"Elys";0,88;178,7;0,83;66;120,1;2
"Dynasty";"Dynasty";"SYN";0,87;179;0,82;66;120,3;2
"Fatiiiih";"Fatiiiih";"WYL";0,87;186,2;0,81;66;127,4;2
"Faceroll";"Faceroll";"CGN";0,87;178,9;0,8;65;115,6;2
"req";"req";"IluZ";0,87;207,5;0,99;62;140,8;3
"Belyaks1";"Belyaks1";"KMK";0,87;188;0,79;66;122,6;2
"mikee.1";"mikee";"VALK";0,87;193,9;0,84;67;133,7;2
"Unbreakable";"Unbreakable";"EnRo";0,87;175,9;0,84;67;115,7;2
"maOu";"maOu";"FA";0,87;163;0,64;56;101,6;1
"Serving";"Serving";"RID";0,87;191,7;0,88;66;125,4;2
"SmokeA";"SmokeA";"WS";0,87;179,3;0,83;62;117,7;2
"Dawn";"Dawn";"WYL";0,87;176,5;0,86;65;118,3;2
"Raye";"Raye";"Exodus";0,87;189,2;0,86;63;138,8;2
"DRAGziKW";"DRAGziKW";"BTF";0,87;164,6;0,75;65;107,4;2
"sMx";"sMx";"ENGM";0,87;180;0,83;68;116;2
"axeddy";"axeddy";"KRÜ";0,87;184,6;0,79;68;117,8;2
"eNN1";"eNN1";"ST";0,87;167,3;0,84;65;108,9;2
"nizhaoTZH";"nizhaoTZH";"FPX.ZQ";0,87;175,9;0,84;70;116,6;2
"cactuzio";"cactuzio";"NSR";0,87;185,1;0,86;65;120,7;2
"xype.1";"xype";"XYZ";0,87;163,7;0,71;70;118,2;2
"cmd";"cmd";"X7";0,87;226,3;0,91;60;146;3
"sickLy";"sickLy";"FS";0,87;181,9;0,94;67;117,2;2
"JuveNN";"JuveNN";"Kuch";0,87;167,3;0,75;70;112,6;2
"pedio";"pedio";"Z11";0,87;181,5;0,77;58;119,6;2
"Lele";"Lele";"aTTaX";0,87;208;0,88;66;132,2;3
"iDex";"iDex";"BEN";0,87;194,1;0,88;67;127,7;2
"LifT";"LifT";"SHIN";0,87;178,1;0,9;66;111,4;2
"Apyr";"Apyr";"LAND";0,87;211,6;0,86;63;145,4;3
"acrian";"acrian";"afte";0,87;208,6;0,92;65;135,1;3
"Kachow";"Kachow";"OGT.X";0,87;182,3;0,81;66;121,6;2
"crescents";"crescents";"BIGG";0,87;211,5;0,86;67;134;3
"Flossie";"Flossie";"NOG";0,87;207,3;0,89;62;135,7;3
"LeeLee";"LeeLee";"GEN.B";0,87;171,6;0,77;69;111,9;2
"Hyperzxz";"Hyperzxz";"Gief";0,87;205,6;0,87;65;132,6;2
"meyi";"meyi";"Hz";0,87;186,9;0,88;64;121,2;2
"dark0sek";"dark0sek";"NoM";0,87;193,4;0,88;65;127,9;2
"OrangeLeaf";"OrangeLeaf";"RGE";0,87;187,1;0,84;66;118,2;2
"bbalto";"bbalto";"UwU";0,87;197;0,86;67;125,6;2
"CabboSM";"CabboSM";"OXR";0,87;178,6;0,79;70;122,5;2
"JaoTae";"JaoTae";"NKT";0,87;176,2;0,81;68;115,2;2
"Daniops";"Daniops";"TBK";0,87;167,6;0,78;69;113,7;2
"Zelyn";"Zelyn";"FS";0,87;154,4;0,81;71;102,4;2
"HEMMORJAY";"HEMMORJAY";"MJY";0,87;215,2;0,91;66;139,9;3
"Naero";"Naero";"36NU";0,87;172;0,72;69;115,5;2
"Badgal";"Badgal";"MIBR.F";0,87;159,5;0,82;72;101,9;2
"kryo";"kryo";"SHIN";0,87;183,3;0,88;64;129,4;2
"NIXON";"NIXON";"5 Yu";0,87;204,3;0,81;65;137,6;2
"Circle5";"Circle5";"KuCy";0,87;193,4;0,93;69;127,1;2
"ROUSIK";"ROUSIK";"SOR";0,87;179,4;0,76;67;117,7;2
"KOLER";"KOLER";"MRG";0,87;192,8;0,88;66;122,8;2
"xYU";"xYU";"NTER";0,87;183,8;0,83;64;121,4;2
"Snowmely";"Snowmely";"FSN.X";0,87;196,6;0,81;66;134,2;2
"alimonstr";"alimonstr";"GX3";0,87;170,6;0,81;68;115,6;2
"Chappie";"Chappie";"LGD";0,87;171,5;0,87;65;118,6;2
"yTao";"yTao";"O2";0,87;187,7;0,87;67;124,2;2
"Hokage";"Hokage";"LGN";0,87;191,3;0,77;61;130,6;2
"mean";"mean";"OS";0,87;187;0,85;62;126,1;2
"nekky";"nekky";"S2G";0,87;176,4;0,76;68;110,4;2
"kazzoo";"kazzoo";"ETH";0,87;191,9;0,8;68;127,9;2
"Delight";"Delight";"Gods";0,87;177,6;0,76;65;123,4;2
"VARES";"VARES";"WYG";0,87;180,6;0,84;66;116,4;2
"FacePalm";"FacePalm";"ANO";0,87;194,8;0,89;66;122,2;2
"cBrwOw";"cBrwOw";"Toe";0,87;169,6;0,8;70;111,4;2
"zolters";"zolters";"lave";0,87;166,8;0,81;66;110,2;2
"Naomi";"Naomi";"VX";0,87;181,8;0,85;66;119;2
"kazz";"kazz";"AIM";0,87;176,7;0,82;70;116,4;2
"UdoTan";"UdoTan";"TLN";0,87;202,1;0,88;66;132,9;2
"jazper";"jazper";"SPE";0,87;184,5;0,83;67;121,5;2
"cbui";"cbui";"Sanr";0,87;187,4;0,84;65;125,6;2
"willy";"willy";"ASP";0,87;201,7;0,86;65;131,5;2
"fad";"fad";"Roul";0,87;169,5;0,73;70;115,4;2
"LGOD";"LGOD";"TFG";0,87;194,8;0,84;69;131,6;2
"bruclon";"bruclon";"vodk";0,87;166,5;0,85;63;112,6;2
"lxte";"lxte";"Vese";0,87;192;0,9;65;126,9;2
"bab";"bab";"LYFT";0,87;187,7;0,89;60;111,1;2
"klipp";"klipp";"DEWA";0,87;200,4;0,86;67;132,5;2
"falfalfal";"falfalfal";"JJLF";0,87;164,8;0,87;67;103,3;2
"SPMAK";"SPMAK";"SPRX";0,87;187,9;0,81;70;124,5;2
"always";"always";"FXP.B";0,87;187,8;0,77;66;122,8;2
"CREA";"CREA";"MDR";0,87;182;0,91;69;117,8;2
"Norisen";"Norisen";"IGZ";0,87;171,9;0,84;69;112,2;2
"X6ix";"6ix";"Team";0,87;188;0,9;62;123,5;2
"Shrudi";"Shrudi";"TQL";0,87;180;0,85;63;115,4;2
"Eazy";"Eazy";"AE";0,87;187,1;0,91;72;120,1;2
"albert";"albert";"ALL";0,87;200,2;0,94;61;120,3;2
"doubbbt";"doubbbt";"inco";0,87;210,9;0,9;68;137,4;3
"HSB";"HSB";"Snakes";0,87;171;0,82;67;118,5;2
"alca";"alca";"MOX";0,87;208,3;0,88;66;136,9;3
"nausea";"nausea";"unjo";0,87;176,7;0,83;65;118,2;2
"MOCKING";"MOCKING";"LT";0,87;186,1;0,86;67;123,3;2
"SpyDaemoN";"SpyDaemoN";"SG";0,87;189;0,78;64;128,3;2
"robben";"robben";"dip";0,87;164,5;0,75;70;107,8;2
"Xandrite";"Xandrite";"G8S";0,87;188,3;0,86;66;126,6;2
"coco";"coco";"OAS";0,87;164,4;0,81;68;112,4;2
"Menna";"Menna";"FSN.X";0,87;188,1;0,87;70;129,2;2
"Secret";"Secret";"GEN";0,87;183,3;0,83;65;117,7;2
"KATTEG";"KATTEG";"GHR";0,87;194,9;0,8;61;129,5;2
"zeek.1";"zeek";"TFT";0,87;193,9;0,85;69;128,5;2
"angil";"angil";"Agog";0,87;190,3;0,84;69;118,9;2
"NIZEN";"NIZEN";"NoM";0,87;182,6;0,81;64;117,3;2
"KuuKai";"KuuKai";"EVA";0,87;170,6;0,86;67;114,1;2
"pulpony";"pulpony";"DPC";0,87;172;0,96;58;125,4;2
"Lynn";"Lynn";"GEN.B";0,87;219,8;0,91;65;144,4;3
"ЯIA";"ЯIA";"QT";0,87;189,9;0,84;62;116,6;2
"supermonkey";"supermonkey";"Mach";0,87;201,7;0,89;66;129,2;2
"kis";"kis";"Sanr";0,87;183;0,82;69;122,4;2
"monSi";"monSi";"SILK";0,87;162,9;0,8;68;107;2
"m1yu";"m1yu";"AGP";0,87;156,8;0,77;68;105;2
"dothem";"dothem";"CHS";0,87;175,9;0,84;62;116;2
"fluyr";"fluyr";"DELI";0,87;187,4;0,93;63;115,2;2
"Flippsy";"Flippsy";"QoR";0,87;180,7;0,82;67;122,7;2
"GabsoN";"GabsoN";"RN";0,87;224,8;0,92;64;145,9;3
"Sugarfree";"Sugarfree";"H34D";0,87;192;0,87;69;124,6;2
"brazy";"brazy";"EnRo";0,87;182,1;0,82;65;121,2;2
"Troll";"Troll";"CRWN";0,87;167,1;0,8;67;108,5;2
"Ryu.1";"Ryu";"LOH";0,87;174,1;0,85;67;118,6;2
"JohnCun";"JohnCun";"RN";0,87;190,2;0,86;67;124,9;2
"Tixinha";"Tixinha";"Team";0,87;183,9;0,81;60;125,1;2
"Xecriona";"Xecriona";"BBL.Q";0,87;205,4;0,85;63;139,9;3
"Jordation";"Jordation";"BONK";0,87;184,1;0,83;66;122,1;2
"DenV";"DenV";"WEDA";0,87;184,5;0,81;70;123,6;2
"DKN";"DKN";"NES";0,87;189,7;0,89;67;123,9;2
"Sady";"Sady";"VCTRY";0,87;195,8;0,88;63;124,1;2
"xhum0n";"xhum0n";"NOM";0,87;217,2;0,88;66;142,2;3
"RiseN";"RiseN";"WAY";0,87;199,1;0,86;69;128,6;2
"GENETIC";"GENETIC";"ARZ";0,87;159,4;0,82;67;107,8;2
"shapaz";"shapaz";"KC";0,87;168,3;0,79;71;114,7;2
"Geniuss";"Geniuss";"47";0,87;192,2;0,77;72;124,7;2
"ell";"ell";"DEWA";0,87;177,8;0,84;67;117,3;2
"Frosty";"Frosty";"PK.A";0,87;186,6;0,87;67;123,9;2
"OrangePearl";"OrangePearl";"NEB";0,87;204,8;0,92;66;130,4;3
"Gloomy";"Gloomy";"GGO";0,87;184,9;0,85;67;119,9;2
"CyderX";"CyderX";"REG";0,87;151,6;0,76;69;106,1;2
"allurin";"allurin";"SES";0,87;185,2;0,89;69;122,2;2
"bry";"bry";"AVN";0,87;198;0,95;67;126,4;2
"PabloMysterK";"PabloMysterK";"WS";0,87;191;0,88;59;129,6;2
"leak";"leak";"PK.A";0,87;177,3;0,83;68;114,8;2
"howie";"howie";"TRIDENT";0,87;168;0,82;71;110,3;2
"shroud";"shroud";"SEN";0,87;164,2;0,73;68;105,1;2
"NORGAC";"NORGAC";"PURP";0,87;179,2;0,89;66;120,9;2
"shin0a";"shin0a";"SOA";0,87;200,9;0,86;63;128,5;2
"Kirich";"Kirich";"Team";0,87;184;0,89;66;118;2
"ReQz";"ReQz";"GENK";0,87;199;0,84;64;129,7;2
"BÜCÜR";"BÜCÜR";"FWS";0,86;163;0,85;63;102,1;2
"milliesai";"milliesai";"LYFT";0,86;194;0,83;63;123,2;2
"alvarxz";"alvarxz";"QoR";0,86;199,9;0,87;65;129,5;2
"tigene";"tigene";"LLH";0,86;164,9;0,77;66;107,9;2
"Rythm";"Rythm";"Tena";0,86;169,8;0,75;69;114,1;2
"ASSERT";"ASSERT";"TO";0,86;185,7;0,77;58;120,6;2
"mija";"mija";"ZOL.M";0,86;177,6;0,8;65;124,2;2
"gilga";"gilga";"NXL";0,86;182,2;0,81;64;124,6;2
"SimoN";"SimoN";"ENDL";0,86;219,5;0,79;64;134,8;3
"X702";"702";"XIA";0,86;150;0,72;70;97,9;2
"Kurt";"Kurt";"TO";0,86;179,4;0,79;64;116,2;2
"SemberN";"SemberN";"AW3";0,86;171,5;0,84;66;113,9;2
"kuro9";"kuro9";"RIG";0,86;180,8;0,84;69;120,9;2
"ni0";"ni0";"TSR";0,86;192,4;0,83;64;123,6;2
"youngzeraaa";"youngzeraaa";"3P";0,86;156,6;0,78;73;103,3;2
"delusion";"delusion";"Meta";0,86;201,2;0,97;63;127,5;2
"ttego";"ttego";"Ramb";0,86;179;0,77;60;123,1;2
"EROC";"EROC";"EVA";0,86;120,2;0,59;61;84,7;1
"siJk";"siJk";"H2O";0,86;202,9;0,88;62;127,8;2
"Skayuf";"Skayuf";"SPRX";0,86;178,1;0,82;66;118,6;2
"frz.1";"frz";"25iq";0,86;173,8;0,91;67;110,7;2
"foreplay";"foreplay";"LRS";0,86;187,7;0,85;65;118;2
"Cellax";"Cellax";"DLR";0,86;201,6;0,82;62;132,2;2
"dips1";"dips1";"FNST.OWO";0,86;183,2;0,89;67;119,5;2
"Leodeddz";"Leodeddz";"Divi";0,86;177,2;0,84;68;117,5;2
"Purple";"Purple";"SANGAL";0,86;174,6;0,84;72;110,6;2
"Majki";"Majki";"GV";0,86;190,3;0,87;61;126,1;2
"Teddy";"Teddy";"CN";0,86;188,1;0,87;65;122,1;2
"KickerzD";"KickerzD";"EIQ";0,86;202,3;0,84;67;127,8;2
"isafx";"isafx";"CLT";0,86;187,6;0,86;64;123,2;2
"Wisdom";"Wisdom";"BMG";0,86;161,3;0,79;70;106,8;2
"ChrisM";"ChrisM";"WST";0,86;167;0,82;68;111,3;2
"Cryptic";"Cryptic";"Devi";0,86;202,4;0,98;59;117,9;2
"OXMANN";"OXMANN";"M28";0,86;178,7;0,84;67;117,4;2
"PapaSmurf";"PapaSmurf";"VEXO";0,86;177,4;0,79;68;113,7;2
"Rain";"Rain";"Hogw";0,86;185,9;0,88;67;120,3;2
"XOD1AC";"XOD1AC";"KGE";0,86;177,8;0,8;67;116,4;2
"allegedlyalexa";"allegedlyalexa";"DSRX";0,86;193,3;0,91;69;131,1;2
"Efina";"Efina";"F4Q";0,86;181,4;0,85;67;120,1;2
"DXN";"DXN";"OOKE";0,86;178,7;0,87;66;120;2
"CAL";"CAL";"Insi";0,86;206;0,86;68;134,4;3
"rosie";"rosie";"ZOL.M";0,86;175,5;0,81;65;118,6;2
"Mixes";"Mixes";"PDHM";0,86;194,3;0,79;65;130,3;2
"rurlz";"rurlz";"NEB";0,86;175,6;0,82;67;113,8;2
"Ezy";"Ezy";"Rush";0,86;192;0,74;61;121,4;2
"PateK";"PateK";"Mach";0,86;189;0,84;66;129,8;2
"Aurora";"Aurora";"UP.F";0,86;176;0,88;73;119,1;2
"azoh";"azoh";"LA";0,86;202,7;0,83;66;128,5;2
"Einarhkays";"Einarhkays";"GEEK";0,86;182,3;0,85;66;122,7;2
"Yuna.1";"Yuna";"GSL.";0,86;182,6;0,81;66;121,1;2
"HAXXA";"HAXXA";"TM";0,86;190,5;0,89;63;129,2;2
"juanu";"juanu";"Malv";0,86;168,5;0,76;65;111,6;2
"Senpai102k";"Senpai102k";"368";0,86;176,4;0,82;68;122,6;2
"nabiichu";"nabiichu";"EQ C";0,86;157;0,67;64;108,8;1
"pata1G";"pata1G";"Woof";0,86;190;0,87;68;121,4;2
"tinggg2k5";"tinggg2k5";"CES";0,86;178,8;0,85;64;120,8;2
"KrM";"KrM";"GG";0,86;182,8;0,85;60;118,5;2
"Wens";"Wens";"BBL.Q";0,86;177;0,81;65;110;2
"olzerr";"olzerr";"PAM";0,86;173,2;0,84;65;108,2;2
"Ziulfps";"Ziulfps";"badc";0,86;219,8;0,93;66;137,9;3
"Rosé";"Rosé";"FF.Y";0,86;172,6;0,81;69;116,4;2
"Seulpen";"Seulpen";"scha";0,86;154,4;0,79;61;98,7;1
"sakurai";"sakurai";"CGZ";0,86;211,6;0,97;66;136,1;3
"msg";"msg";"DRM";0,86;206,9;0,88;66;136,8;3
"Hyakkimaru";"Hyakkimaru";"POG";0,86;181,1;0,86;58;120;2
"skypzz";"skypzz";"Noct";0,86;173,8;0,75;64;115,7;2
"Remedy";"Remedy";"NG";0,86;201,6;0,89;59;124,9;2
"ByErickk";"ByErickk";"WIZ";0,86;201,2;0,9;65;128,7;2
"TviQ";"TviQ";"OG";0,86;189,3;0,85;67;117,5;2
"UNNSTO";"UNNSTO";"SNX";0,86;189,1;0,82;67;122,2;2
"OneSnipeKO";"OneSnipeKO";"Pand";0,86;183,9;0,82;62;123,3;2
"Apagam";"Apagam";"Wyge";0,86;210;0,81;64;135,3;2
"gh0st";"gh0st";"Actu";0,86;177,3;0,73;64;130,7;2
"cryptX";"cryptX";"FIU";0,86;168,9;0,77;63;109,8;2
"shen";"shen";"Wolf";0,86;182,5;0,82;66;120;2
"mizu";"mizu";"9z";0,86;189,4;0,9;64;119,3;2
"iFamos";"iFamos";"F9";0,86;196;0,84;68;125,6;2
"r1seN";"r1seN";"GA";0,86;202,7;0,92;63;131,8;2
"GuterWoman";"GuterWoman";"SKC";0,86;165,6;0,79;62;113;2
"Sickerz";"Sickerz";"ETH";0,86;171;0,86;67;109,5;2
"Jessen";"Jessen";"WATE";0,86;179,4;0,81;66;115,5;2
"Elevate";"Elevate";"The";0,86;162,8;0,77;68;110,9;2
"Emzuwu";"Emzuwu";"Syd'";0,86;178,7;0,82;63;119,5;2
"alvin";"alvin";"Kowa";0,86;200;0,83;65;129;2
"sh1vy";"sh1vy";"LE";0,86;159,7;0,77;68;108,3;2
"NRK";"NRK";"VMS";0,86;179;0,84;66;117,1;2
"Tiger";"Tiger";"JNS";0,86;177,7;0,78;67;118,3;2
"lore";"lore";"TLP.M";0,86;169,1;0,83;66;108,7;2
"kuiM";"kuiM";"MOX";0,86;173,7;0,8;65;119,3;2
"Glenn";"Glenn";"7TH";0,86;183;0,81;67;125,3;2
"HUDFAME";"HUDFAME";"HBOX";0,86;196,8;0,9;61;129;2
"Luzia";"Luzia";"XL.GC";0,86;171,4;0,83;66;111,1;2
"Lexie";"Lexie";"Chiv";0,86;183,3;0,9;64;122,3;2
"lucas";"lucas";"Ambi";0,86;193,7;0,84;66;126,9;2
"Babu";"Babu";"1337";0,86;178;0,82;65;114,1;2
"Yanagi";"Yanagi";"SRD";0,86;176;0,85;62;114,6;2
"Axilus";"Axilus";"No N";0,86;192,2;0,92;62;122,5;2
"Kleisy";"Kleisy";"Excl";0,86;199,3;0,85;62;130,9;2
"Amiel";"Amiel";"GLAB";0,86;187,2;0,82;64;126;2
"Rudys";"Rudys";"AGL";0,86;170,8;0,8;68;116,3;2
"Swayy";"Swayy";"Dirt";0,86;199,5;0,86;66;130,8;2
"BRANTED";"BRANTED";"We C";0,86;170,8;0,83;69;111,2;2
"ezznap";"ezznap";"SKC";0,86;178,7;0,83;63;115,8;2
"Zeno";"Zeno";"Thou";0,86;172,7;0,77;69;109,2;2
"hikkA";"hikkA";"ORG";0,86;178;0,83;67;117,4;2
"KNZY";"KNZY";"Rebi";0,86;176,8;0,82;72;118,2;2
"Kohliii";"Kohliii";"GES";0,86;188,3;0,79;68;128,6;2
"wisa";"wisa";"EQX";0,86;155,2;0,73;64;101,2;1
"NextJacks";"NextJacks";"RRQ";0,86;190,1;0,84;67;123,5;2
"laddermoves";"laddermoves";"ASP";0,86;198,1;0,86;63;131,1;2
