"";"Player";"Team";"R";"ACS";"K.D";"KAST";"ADR";"Elo"
"Zanatsu";"Zanatsu";"ROLO";1,09;239,4;1,08;71;156,1;3
"fame";"fame";"GLP";1,09;204,4;1,08;74;123,7;3
"tixx";"tixx";"BOBO";1,09;216,5;1,11;75;143;3
"Mickebwoy";"Mickebwoy";"BDS";1,09;205,3;1,08;74;134,4;3
"PTC";"PTC";"MiTH";1,09;222,9;1,14;73;141,8;3
"cinnamon";"cinnamon";"GLD.X";1,09;222,3;1,12;74;144,4;3
"SicK";"SicK";"SEN";1,09;223,3;1,17;75;142,4;3
"t3xture";"t3xture";"GES";1,09;250,7;1,18;69;156,3;3
"Mary";"Mary";"MENA";1,09;231,5;1,18;73;152,1;3
"ZmjjKK";"ZmjjKK";"EDG";1,09;265,4;1,2;70;161,7;3
"Life";"Life";"ASE";1,09;236,4;1,13;71;151,4;3
"RgLMeister";"RgLMeister";"MIBR";1,09;204,9;1,12;76;135,5;3
"Benkai";"Benkai";"PRX";1,09;187,8;1,1;75;122,8;3
"Neon";"Neon";"DNAD";1,09;218,8;1,14;72;137,5;3
"Nelo";"Nelo";"TEN.N";1,09;222,7;1,16;74;146,8;3
"fReeze";"fReeze";"Case";1,09;216,1;1,11;73;136;3
"L4CE";"L4CE";"GX3";1,09;201,3;1,09;74;135,5;3
"xavi8k";"xavi8k";"WS";1,09;239,9;1,1;73;154,6;3
"brawk";"brawk";"G/B";1,09;201,6;1,05;75;136,1;3
"nomfu";"nomfu";"KGM";1,09;237;1,18;69;148,3;3
"VTaguT";"VTaguT";"ARZ";1,08;202,1;1,06;75;134,7;3
"nabbsky";"nabbsky";"AECL";1,08;199,6;1,09;75;132,9;3
"Katu";"Katu";"TQ";1,08;223,1;1,08;71;147,7;3
"v1c";"v1c";"SR";1,08;215,7;1,07;74;142,6;3
"Moe40";"Moe40";"XL";1,08;209,4;1,09;74;139,5;3
"Derrek";"Derrek";"100T";1,08;199,4;1,05;74;132,2;3
"saadhak";"saadhak";"LOUD";1,08;215,2;1,1;73;137,1;3
"Winteryrook";"Winteryrook";"TU";1,08;234,8;1,08;71;148,7;3
"Kadoom";"Kadoom";"SPE";1,08;247,4;1,12;71;156,8;3
"eNes";"eNes";"AT";1,08;204,1;1,08;70;136;3
"JAIGRAYRAY";"JAIGRAYRAY";"47";1,08;208,1;1,16;72;130,4;3
"LAMMYSNAX";"LAMMYSNAX";"FS";1,08;209;1,11;75;139;3
"SPEEDRACER88";"SPEEDRACER88";"SamP";1,08;213;1,08;73;150,5;3
"corey";"corey";"TSM";1,08;233,2;1,13;72;153,7;3
"KaweNtw";"KaweNtw";"AMZ";1,08;239,4;1,22;67;160,4;3
"ardiis";"ardiis";"NRG";1,08;233,1;1,15;72;148,2;3
"MrFaliN";"MrFaliN";"FUT";1,08;211,1;1,08;75;139,8;3
"vascalizz";"vascalizz";"ARF";1,08;213,1;1,04;74;138,4;3
"Ange";"Ange";"DZ";1,08;196,9;1,09;73;128;3
