"";"Player";"Team";"Rnd";"R";"ACS";"K:D";"KAST";"ADR";"HS%";"KMax";"IK"
"1047";"Sevire";"aTTaX";831;1;229;1,03;"68%";144,5;"22%";32;20
"1048";"baztianN";"TSR";186;1;174,9;0,8;"74%";117,2;"24%";17;-4
"1049";"Pr0phie";"TR";3485;1;210,5;0,98;"71%";141,2;"25%";26;-49
"1050";"Scottie";NA;146;1;199,4;0,96;"68%";129,1;"27%";22;1
"1051";"XiSTOU";"SUP";3410;1;217,2;1,06;"70%";139,2;"27%";30;47
"1052";"Fidelwow";"CHK";861;1;195,2;0,92;"71%";126,2;"23%";28;-28
"1053";"bruninej";NA;428;1;206,7;1,07;"68%";130,7;"21%";26;6
"1054";"gucc107";"YFP";6118;1;198;0,97;"71%";129,7;"21%";37;-62
"1055";"torract";"HLD";186;1;210,7;0,98;"62%";135,7;"26%";27;-11
"1056";"luqz";"Rise";1399;1;196,4;0,96;"72%";132,5;"28%";38;0
"1057";"wannafly";"MiTH";4167;1;215,2;1,03;"72%";139,2;"22%";33;89
"1058";"LBY";"EVA";294;1;168,6;0,78;"74%";100,9;"21%";20;-7
"1059";"Rainy";"CBT";2075;1;192,3;1;"71%";121,9;"23%";30;30
"1060";"RockeT";"GK";2639;1;231,2;1,02;"68%";149;"26%";34;71
"1061";"Andersin";"ex-S";6358;1;206,8;1;"70%";133,5;"25%";33;-73
"1062";"Prti";"DIA";1575;1;205,3;0,99;"71%";139;"24%";28;-2
"1063";"Xanzus";"MYC";596;1;205,6;0,99;"69%";135,7;"21%";24;2
"1064";"PHYRN";"KOI";2459;1;187,9;0,98;"71%";124,8;"22%";29;-4
"1065";"MAKKA";"PK";2119;1;199,2;1;"70%";134,7;"23%";30;-20
"1066";"neptune";"NYFU";5527;1;201,2;0,97;"72%";129,5;"25%";29;-45
"1067";"vanity";"C9";4377;1;187,9;0,97;"73%";116,7;"17%";28;2
"1068";"nico";"UOL";2632;1;176,3;0,98;"74%";115,4;"25%";27;16
"1069";"biazik";"GLP";1765;1;204,8;0,96;"71%";135;"22%";27;23
"1070";"Lew";"IGW";87;1;209,8;1,03;"70%";129,1;"28%";24;-4
"1071";"kopiko";NA;63;1;216;1,02;"73%";143;"33%";22;1
"1072";"zakkv";"B4";1492;1;202,7;0,95;"71%";134,1;"20%";24;-7
"1073";"Carcass";"G2.G";2101;1;208,5;0,99;"69%";130;"18%";29;69
"1074";"Precision";"YFP";5219;1;184,5;0,95;"72%";120,4;"23%";31;-114
"1075";"Daicute";"CES";2039;1;230,9;1,07;"68%";146,5;"22%";32;8
"1076";"Celin";"Seal";1116;1;201,3;0,97;"71%";129,7;"26%";30;4
"1077";"CC";"ARCE";418;1;200,3;0,9;"72%";124,7;"15%";26;-15
"1078";"barricade";NA;57;1;245,7;1,02;"58%";157,6;"40%";20;-3
"1079";"Amaterasu";"VLT";5347;1;185,7;0,98;"72%";120,7;"31%";29;-17
"1080";"D";"SAVAGE 3900";67;1;199,7;0,96;"69%";136;"20%";16;0
"1081";"fiziq";"ex-S";5035;1;186,5;0,93;"71%";126,4;"24%";31;-64
"1082";"vCan";"S2G";960;1;196;0,95;"70%";132;"24%";26;-30
"1083";"w0zzip";"DP";227;1;205,5;0,95;"72%";134;"20%";23;-7
"1084";"NDG";"NS";871;1;208,2;0,96;"72%";135,7;"20%";26;-18
"1085";"steph";NA;151;1;262,3;1,02;"62%";164,9;"19%";25;5
"1086";"foiz";"NORG";169;1;197,5;1,04;"73%";124,2;"25%";27;0
"1087";"Elizabeth";"SES";647;1;192,8;1;"74%";135,3;"21%";26;-6
"1088";"UNFAKE";"TQ";2491;1;204,7;0,99;"72%";138,2;"26%";36;48
"1089";"LeviathanAG";"TSM";4809;1;194,7;0,95;"70%";127,5;"22%";34;-19
"1090";"benas";NA;55;1;223,5;1,13;"82%";135,2;"34%";28;6
"1091";"Newky";"WSF";759;1;222,8;1,06;"69%";147,9;"37%";31;6
"1092";"eXerZ";"19";1723;1;214;0,99;"70%";142,2;"21%";34;-26
"1093";"shramez";"Team";572;1;205,4;0,98;"70%";135,3;"21%";25;-3
"1094";"pyrolll";"Team";1214;1;207,1;0,96;"69%";137,2;"27%";27;11
"1095";"Shun";"Kizuna";1652;1;182,9;0,98;"72%";124,5;"26%";24;-28
"1096";"Cartier";NA;90;1;200;0,94;"69%";131,3;"31%";22;0
"1097";"SaucetiN";"TMA";786;1;204,8;0,94;"71%";132,5;"23%";26;1
"1098";"bjor";"ZMM.B";6655;1;202,4;1,01;"72%";134;"20%";30;-20
"1099";"FrostyZ";"Bad";1979;1;210,2;1,01;"69%";134,8;"23%";29;22
"1100";"al0rante";"MOUZ";2036;1;244,3;1,1;"69%";153,3;"39%";37;27
"1101";"AvovA";"TH";4753;1;184,6;1,03;"73%";118,5;"26%";30;-102
"1102";"JSUNG";"NYFU";4454;1;198,3;0,99;"72%";133,3;"30%";38;35
"1103";"zero";"cap
																			sqn";1878;1;196,6;0,94;"73%";131,2;"28%";27;-26
"1104";"blurred";"NS";1632;1;209,5;1,02;"68%";135,2;"18%";33;19
"1105";"LOB";"FAV";834;1;190,4;1,01;"71%";126,4;"26%";31;-11
"1106";"Knight";NA;1923;1;197,2;0,97;"72%";124,5;"27%";25;-30
"1107";"m0rea";"BTR";2815;1;194,8;1;"72%";124,9;"26%";28;-27
"1108";"vS";"Curs";73;1;190;0,87;"73%";117,8;"22%";21;-1
"1109";"Apinya";"FS";1334;1;223,1;1,03;"70%";146,4;"26%";28;-10
"1110";"BEAST";"6K";1885;1;200,1;1,01;"72%";126,9;"18%";25;-5
"1111";"nTK";"BAAM";1747;1;212,1;1,04;"70%";133;"24%";30;43
"1112";"vice";"NYFU";4451;1;190,6;1;"71%";127,6;"22%";32;18
"1113";"Lakers";"MF";1057;1;237,8;1,09;"72%";138;"17%";28;31
"1114";"Pinkalie";"RBLS";1444;1;206,5;1,03;"71%";134,2;"29%";29;-50
"1115";"jas";"Z10";2606;1;220,6;1;"68%";145,3;"26%";37;-14
"1116";"Waer";"GENK";217;1;221,2;1,06;"70%";145,1;"36%";25;2
"1117";"Remoy";"HEET";605;1;203;1,05;"68%";133,6;"25%";26;-1
"1118";"NcSlasher";"BTR";4468;1;192,6;0,97;"73%";122,8;"22%";32;38
"1119";"PureVNS";"MSF";4460;1;190;0,97;"71%";124,8;"29%";27;-16
"1120";"SyouTa";"FL";431;1;220;0,98;"70%";147,4;"27%";26;-3
"1121";"fzkk";"ODK";2837;1;212,4;1,02;"70%";133,3;"18%";29;-14
"1122";"dreAms";"Team";2068;1;205,7;1,02;"72%";131;"22%";32;22
"1123";"furbsa";"NU";3570;1;229,6;1,06;"68%";150,3;"30%";36;9
"1124";"sickrey";"PER";1666;1;177;0,92;"70%";118,5;"24%";26;-14
"1125";"markyy";"OAS";2348;1;224,4;1,01;"69%";142,4;"21%";35;9
"1126";"itnothan";"CLG";2106;1;197;0,99;"71%";127;"16%";29;4
"1127";"MAGNUM";"KOI";3503;1;207,9;1,01;"72%";131,8;"25%";32;-44
"1128";"WhoFramedMe";NA;267;1;199,8;1,09;"69%";132,5;"27%";23;-4
"1129";"flowerful";"SR.GC";3927;1;203,9;1,05;"71%";135,2;"23%";29;43
"1130";"Keodo";"SPRX";449;1;219,4;1,02;"65%";140,9;"28%";23;8
"1131";"Kakarot";"NS";1871;1;206;0,94;"69%";134,4;"19%";29;-10
"1132";"sonder";"SR.GC";3285;1;230,4;1;"69%";149,9;"20%";31;-45
"1133";"hoppY";"MDR";2626;1;203,3;1,06;"74%";129,3;"25%";30;12
"1134";"jovahnii";"CB";5975;1;203,7;0,97;"71%";132,5;"23%";31;-104
"1135";"ketarys";"Fall";417;1;200,4;0,98;"71%";134,1;"28%";24;-1
"1136";"Feez";"RC";1249;1;189,3;0,98;"73%";123,8;"16%";29;4
"1137";"cuppycake";"WSF";545;1;191,4;1;"72%";128;"27%";24;6
"1138";"Sunday";"ZFG";651;1;205,6;1,02;"73%";133,3;"26%";29;12
"1139";"heyNF";"DEWA";1179;1;203,9;1,03;"69%";131,2;"26%";31;19
"1140";"speedowka";"ALL.C";890;1;204,9;0,98;"73%";132,7;"28%";25;23
"1141";"SamuraiDeeper";"CGZ";509;1;204,2;0,97;"73%";132,6;"25%";27;12
"1142";"DaZeD";"T1";1158;1;200,1;0,99;"70%";134,2;"20%";25;10
"1143";"taLenT7";"RRQ";703;1;190,7;1,01;"72%";125;"20%";24;1
"1144";"JoshS";"RNT";1932;1;209,2;1;"69%";136,6;"26%";26;16
"1145";"W1chi";"Mad";123;1;229;1,08;"74%";144,1;"18%";26;-6
"1146";"AKUMAAAAA";"MDR";3421;1;211,2;0,98;"70%";136,7;"27%";29;20
"1147";"Babybae";NA;158;1;216,4;0,96;"67%";146,2;"23%";22;0
"1148";"gaabxx";"SHK";2350;1;206,5;1,03;"69%";130,2;"23%";31;50
"1149";"keloqz";"TH";3160;1;222,4;1,05;"68%";138,5;"28%";38;81
"1150";"L1NK";"ACE";4573;1;183,9;1,02;"74%";118;"30%";29;56
"1151";"oitaN";"IGZ";900;1;201,3;0,97;"67%";142,9;"21%";31;-5
"1152";"memset";"MOUZ";1736;1;213,3;1,12;"70%";140,2;"31%";31;9
"1153";"Hyzee";"FCY";2513;1;200,7;0,98;"73%";131,9;"24%";30;-30
"1154";"nillyaz";"LT";4380;1;200;0,99;"71%";130,8;"28%";27;-17
