"","Data","RW","RL","Adversario","Resultados"
"213",2021-04-01," 3","13","Soniqs","Lose"
"214",2021-03-26," 13","3","Dignitas","Win"
"215",2021-03-25," 13","0","Man I Love Fwogs","Win"
"216",2021-03-20," 13","1","OWA OWA","Win"
"217",2021-02-11," 11","13","On The Way","Lose"
"218",2021-02-11," 13","4","Lunch Club","Win"
"219",2021-01-27," 13","11","eUnited","Win"
"220",2021-01-27," 13","6","D2E Gold","Win"
"221",2021-01-23," 8","13","Spot Up","Lose"
"222",2021-01-22," 5","13","Balanced Esports","Lose"
"223",2021-01-19," 13","11","Able Esports","Win"
"224",2021-01-15," 10","13","DREAMLAND","Lose"
"225",2020-11-28," 11","13","Pyronic","Lose"
"226",2020-11-28," 6","13","Roosters","Lose"
"227",2020-11-13," 19","17","The Clappening","Win"
"228",2020-11-11," 9","13","pick me up","Lose"
"229",2020-10-26," 13","5","Hollywood Hooliganz","Win"
"230",2020-09-13,"13","3","GX3","Win"
"231",2020-09-13," 13","7","Dignitas","Win"
"232",2020-09-11," 13","3","Hardstuck","Win"
"233",2022-11-19," 9","13","Shopify Rebellion GC","Lose"
"234",2022-10-16," 13","7","Shopify Rebellion GC","Win"
"235",2022-08-25," 5","13","Knights Academy","Lose"
"236",2022-08-17," 13","11","Kitten Shelter","Win"
"237",2022-07-09," 7","13","Shopify Rebellion GC","Lose"
"238",2022-05-06," 13","10","Team Mystic","Win"
"239",2022-05-06," 4","13","DarkZero Esports","Lose"
"240",2022-05-05," 13","5","ONi","Win"
"241",2022-04-29," 6","13","Girl Kissers","Lose"
"242",2022-04-09," 13","4","Shopify Rebellion GC","Win"
"243",2022-04-03," 13","4","VersionX","Win"
"244",2022-03-31," 13","5","VersionX","Win"
"245",2022-03-14," 7","13","Run it Down","Lose"
"246",2021-12-13," 13","6","BASILISK","Win"
"247",2021-12-13," 13","11","Knights Academy","Win"
"248",2021-12-13," 13","11","Eclectiq","Win"
"249",2021-11-15," 4","13","Echo Alternative","Lose"
"250",2021-11-11," 13","3","wasd fan club","Win"
"251",2021-10-03," 13","10","Shopify Rebellion GC","Win"
"252",2021-09-26," 13","6","Polaris","Win"
"253",2021-07-22," 16","14","Brimstone Gaming","Win"
"254",2021-07-01," 7","13","Luminosity","Lose"
"255",2021-07-01," 13","2","dotExE","Win"
"256",2021-06-27," 13","6","CLG Red","Win"
"257",2021-06-26," 13","4","Shopify Rebellion GC","Win"
"258",2021-06-25," 13","9","TSM X","Win"
"259",2021-06-07," 13","2","FIU","Win"
"260",2021-06-07," 7","13","SoaR","Lose"
"261",2021-05-22," 6","13","BASILISK","Lose"
"262",2021-05-17," 7","13","Last Round Save","Lose"
"263",2021-03-28," 13","11","CLG Red","Win"
"264",2021-03-27," 13","11","Moon Raccoons Black","Win"
"265",2021-02-25," 11","13","Demon Time","Lose"
"266",2021-02-11," 12","14","On The Way","Lose"
"267",2021-02-11," 9","13","Lunch Club","Lose"
"268",2021-01-20," 7","13","Elysium","Lose"
"269",2022-11-15," 6","13","G2 Gozen","Lose"
"270",2022-10-14," 13","5","Shopify Rebellion GC","Win"
"271",2022-09-09," 2","13","The Pig Pen","Lose"
"272",2022-07-09," 14","12","Shopify Rebellion GC","Win"
"273",2022-07-09," 13","3","TSM X","Win"
"274",2022-07-08," 13","4","Dignitas","Win"
"275",2022-07-06," 13","3","Immortals","Win"
"276",2022-11-19," 14","12","Shopify Rebellion GC","Win"
"277",2022-11-18," 13","3","Guild X","Win"
"278",2022-08-26," 6","13","City Boys","Lose"
"279",2022-07-09," 13","11","Shopify Rebellion GC","Win"
"280",2022-07-07," 7","13","Shopify Rebellion GC","Lose"
"281",2022-07-03," 10","13","Misfits Black","Lose"
"282",2022-07-02," 13","6","ZMM White","Win"
"283",2022-06-30," 13","8","VersionX","Win"
"284",2022-04-08," 13","7","Shopify Rebellion GC","Win"
"285",2022-04-02," 13","2","Complexity GX3","Win"
"286",2022-02-03," 6","13","Andbox","Lose"
"287",2022-02-03," 13","4","Neons Ninjas","Win"
"288",2022-01-31," 9","13","Vexo Esports","Lose"
"289",2022-01-27," 13","5","Crownless","Win"
"290",2021-11-22," 11","13","Built By Gamers Academy","Lose"
"291",2022-11-15," 3","13","G2 Gozen","Lose"
