"","Data","RW","RL","Adversario","Resultados"
"176",2021-09-05," 10","13","Oxxgen Esports","Lose"
"177",2021-07-25," 17","15","fReya","Win"
"178",2021-07-10," 13","9","Toxic WW3","Win"
"179",2021-07-10," 13","4","AKUNAMATATA","Win"
"180",2021-06-28," 6","13","Judge Rush","Lose"
"181",2022-11-18," 3","13","Cloud9 White","Lose"
"182",2022-10-02," 13","3","G2 Gozen","Win"
"183",2022-09-19," 13","1","Budapest Five","Win"
"184",2022-07-07," 13","11","TENSTAR Nova","Win"
"185",2022-07-07," 13","11","Acend Rising","Win"
"186",2022-07-06," 13","1","N1MP","Win"
"187",2022-07-06," 13","1","QLASH U-Sync","Win"
"188",2022-07-06," 13","2","NOM LEGION","Win"
"189",2022-05-07," 13","9","Rix.GG Lightning","Win"
"190",2022-05-06," 14","12","Supermassive Blaze Female","Win"
"191",2022-04-26," 13","3","UNtapped","Win"
"192",2022-04-26," 13","7","Team X","Win"
"193",2022-04-25,"13","2","Squad Of Aces Blaze","Win"
"194",2022-03-29," 13","4","XY eSports","Win"
"195",2022-03-16," 6","13","TENSTAR Nova","Lose"
"196",2022-03-16," 13","8","BBL Queens","Win"
"197",2022-03-15," 13","3","5ynerG","Win"
"198",2022-02-05," 13","15","G2 Gozen","Lose"
"199",2022-02-01," 15","13","TFT DEMONZ","Win"
"200",2022-01-24," 13","6","B'n'B","Win"
"201",2021-11-18," 13","10","SMARACIS eSports Female","Win"
"202",2021-11-14," 11","13","Supermassive Blaze Female","Lose"
"203",2021-11-13," 13","2","Palinka","Win"
"204",2021-11-13," 13","4","SMARACIS eSports Female","Win"
"205",2021-10-28," 13","1","SMARACIS eSports Female","Win"
"206",2022-11-17," 13","3","FENNEL GC","Win"
"207",2022-11-16," 14","16","Shopify Rebellion GC","Lose"
"208",2022-10-02," 6","13","G2 Gozen","Lose"
"209",2022-09-30," 13","6","Acend Rising","Win"
"210",2022-09-29," 6","13","G2 Gozen","Lose"
"211",2022-09-26," 13","3","ANYWAY","Win"
