"";"RND_diff";"R_diff";"ACS_diff";"KAST_diff";"KD_diff";"ADR_diff";"KPR_diff";"APR_diff";"FKPR_diff";"FDPR_diff";"K_diff";"D_diff";"A_diff";"FK_diff";"FD_diff";"ganhador"
"338";-719,274;-0,0620000000000001;-2,71800000000002;-2,40000000000001;-0,016;-1,85999999999999;-0,00800000000000001;0,00600000000000001;-0,01;0,00199999999999999;-467,458;-412,16;-275,16;-44,264;-19,872;"1"
"339";-56,6119999999999;0,028;4,41;-1;0,014;5,86799999999999;0,00600000000000001;0,016;0,004;0,01;-37,9019999999999;-59,0699999999999;72,72;-26,966;-18,228;"1"
"340";178,44;-0,0580000000000001;-13,228;-0,599999999999994;-0,0880000000000001;-5,81399999999999;-0,036;0,002;-0,024;0,002;84,222;104,326;91,2;-17,794;-4,722;"0"
"341";-1302,648;-0,0999999999999999;-9,88999999999999;-3,40000000000001;-0,13;-5,83199999999999;-0,0439999999999999;0,002;-0,00599999999999999;0,012;-1207,734;-821,782;-288,558;-226,168;-122,304;"1"
"342";122,896;0,026;10,836;1;0,036;5,142;0,036;-0,028;0,034;0,018;140,378;100,808;-11,806;66,438;44,372;"1"
"343";-32,466;0,0700000000000001;5,142;7,8;0,022;5,602;0,016;0,042;0,02;-0,018;-19,642;-20,828;-10,516;-1,014;-3,888;"1"
"344";737,992;0,326;44,982;12;0,368;26,456;0,174;0,038;0,034;-0,026;551,516;491,378;204,206;82,318;66,996;"1"
"345";3,36600000000001;-0,0839999999999999;-20,694;-2;-0,16;-14,79;-0,0840000000000001;0,002;0;-0,012;-0,219999999999999;6,43000000000001;-3,71;9,956;2,006;"1"
"346";-96,192;-0,162;-34,406;-6,80000000000001;-0,246;-19,49;-0,134;-0,044;0,012;-0,02;-101,306;-60,782;-24,302;-14,982;-11,838;"1"
"347";-396,624;-0,328;-29,812;-12;-0,466;-18,666;-0,144;-0,04;-0,012;0,036;-331,414;-257,15;-131,592;-44,814;-31,038;"0"
"348";-439,36;0,0640000000000001;24,118;0,200000000000003;0,14;18,062;0,08;0;0,018;0,00600000000000001;-273,334;-287,012;-119,434;-38,022;-39,794;"1"
"349";24,566;-0,012;2,196;-0,199999999999989;-0,00800000000000001;0,825999999999993;0,016;0;-0,018;-0,012;67,586;40,62;-16,724;4,348;4,396;"0"
"350";588,578;-0,016;-16,382;1,40000000000001;-0,0580000000000001;-7,86600000000001;-0,048;0,012;-0,032;-0,016;475,76;415,426;128,332;89,822;82,036;"0"
"351";143,876;0,0580000000000001;6,89599999999999;2,39999999999999;0,0800000000000001;4,458;0,026;0,018;-0,016;-0,00799999999999999;106,43;98,144;45,136;12,142;16,268;"1"
"352";-480,848;0,042;-3,28399999999999;1,40000000000001;-0,00399999999999978;-4,76999999999998;-0,016;-0,004;0,00800000000000001;-0,00600000000000001;-348,502;-314,932;-202,75;22,262;-4,08599999999998;"0"
"353";-695,496;-0,022;-2,84799999999998;0,600000000000009;-0,002;-3,548;-0,004;-0,012;-0,00800000000000001;-0,014;-492,642;-454,19;-255,058;-74,262;-71,912;"1"
"354";295,16;-0,156;-30,284;-4,2;-0,284;-22,016;-0,11;0,024;-0,012;-0,02;206,334;220,932;75,432;39,918;39,434;"1"
"355";486,496;0,0539999999999999;4,708;2,60000000000001;0,0840000000000001;0,496000000000009;0,0359999999999999;-0,02;0,016;-0,00799999999999999;356,548;313,802;143,008;53,088;39,532;"0"
"356";122,962;-0,03;-1,16;-3;-0,048;-2,428;-0,022;0,014;0,012;0;82,056;92,326;42,798;18,764;16,556;"0"
"357";330,166;0,0859999999999999;16,078;3,60000000000001;0,138;8,52200000000002;0,0720000000000001;0,018;-0,028;-0,00800000000000001;273,77;210,274;92,456;18,912;22,662;"1"
"358";522,086;0,0919999999999999;16,266;2,19999999999999;0,122;8,33000000000001;0,056;-0,016;0,01;0;416,642;329,63;145,75;61,444;47,656;"0"
"359";-221,094;-0,168;-10,174;-5,39999999999999;-0,28;-3,40000000000001;-0,0620000000000001;-0,028;0,02;0,022;-198,222;-131,442;-88,386;-17,196;-10,856;"0"
"360";-950,376;-0,0919999999999999;-5,05600000000001;-4,40000000000001;-0,142;-4,06199999999998;-0,028;0;0,018;0,03;-783,79;-513,892;-230,542;-58,208;-20,486;"0"
"361";-370,496;0,004;3,892;-1,40000000000001;-0,004;5,99800000000002;0,002;0;0,002;0,00800000000000001;-263,952;-246,226;-96,902;-41,868;-34,578;"0"
"362";154,614;-0,002;1,10999999999999;1,40000000000001;-0,012;4,47399999999999;-0,00600000000000001;0,036;-0,024;-0,012;88,948;109,972;143,684;-2,148;12,976;"1"
"363";945,67;0;5,99600000000001;-0,399999999999991;0,034;-0,322000000000003;0,032;-0,066;0,016;0,004;818,118;647,91;135,3;144,734;92,962;"1"
"364";197,958;-0,00600000000000001;-10,782;-0,799999999999997;-0,02;-5,54999999999998;-0,038;0,05;-0,034;-0,014;86,782;90,696;186,48;-51,674;-27,592;"1"
"365";-99,844;-0,05;-8,048;-1,40000000000001;-0,0760000000000001;-3,60000000000002;-0,022;0,012;-0,018;-0,002;-96,4;-48,272;-27,696;-17,84;-6,25;"0"
"366";-192,202;-0,014;5,274;-0,800000000000011;-0,0239999999999998;4,94;0,012;-0,036;0,012;0,00600000000000001;-149,32;-114,306;-78,262;-14,866;-14,46;"0"
"367";-100,912;0,0820000000000001;26,854;1,60000000000001;0,14;18,002;0,092;0,012;0,02;0,00800000000000001;18,52;-46,834;-34,972;11,986;-0,503999999999998;"1"
"368";212,204;0,0719999999999998;16,152;1;0,114;9,38;0,0660000000000001;-0,024;-0,00800000000000001;-0,016;200,772;129,814;46,974;15;13,344;"1"
"369";29,782;0,0139999999999999;-0,460000000000008;3;-0,00800000000000001;-2,78199999999998;0,01;0,028;0,022;0,014;11,218;28,496;12,834;11,02;10,148;"1"
"370";-308,008;-0,158;-2,69399999999999;-5,2;-0,284;0,550000000000011;-0,034;-0,044;0,032;0,044;-257,692;-193,648;-110,804;-32,418;-20,598;"0"
"371";1556,578;0,128;28,468;0,799999999999997;0,184;15,664;0,114;-0,06;0,032;0,014;1537,892;1112,38;193,718;328,692;235,692;"1"
"372";-269,138;0,03;14,7;-0,400000000000006;0,036;11,07;0,042;-0,03;0,038;0,024;-137,86;-161,954;-115,21;21,36;6,996;"0"
"373";598,712;0,052;14,468;1,2;0,056;8,33800000000002;0,038;0,032;0,012;-0,004;453,21;401,93;274,472;61,724;53,95;"1"
"374";220,25;-0,0600000000000001;1,5;-4,8;0,024;0,719999999999999;0,00800000000000001;-0,00800000000000001;-0,002;-0,00600000000000001;175,324;135,798;78,138;18,344;5,73;"0"
"375";-191,37;0,0940000000000001;24,456;2;0,156;17,006;0,076;0,01;0,032;0,02;-106,56;-130,11;-36,564;-0,695999999999998;-11,814;"1"
"376";-83,61;-0,222;-9,09999999999999;-7,60000000000001;-0,286;-3,95000000000002;-0,046;-0,022;0,024;0,046;-105,098;-23,362;-51,286;-1,524;12,112;"0"
"377";688,686;-0,036;3,88400000000001;0;-0,0679999999999998;2,19999999999999;0,02;-0,088;0,01;0,018;561,674;499,994;145,216;94,95;70,666;"1"
"378";-215,008;-0,0439999999999999;2,08599999999998;-0,600000000000009;-0,096;7,49400000000001;0,002;-0,024;0,024;0,028;-145,152;-114,564;-79,16;-10,136;-7,538;"0"
"379";190,486;-0,1;-10,632;-6,2;-0,104;-5,41800000000001;-0,0499999999999999;-0,00600000000000001;-0,03;-0,01;136,862;139,904;44,4;19,546;20,662;"0"
"380";242,732;-0,014;-1,256;-0,599999999999994;-0,036;-2,762;0,004;-0,06;0,018;0,01;200,836;173,89;65,962;39,376;32,206;"1"
"381";-1161,694;-0,054;-14,652;-1;-0,0819999999999999;-8,53800000000001;-0,054;0,024;-0,024;-0,016;-1069,286;-801,674;-234,71;-216,514;-145,836;"0"
"382";-71,4559999999999;0,032;4,512;-1;0,018;6,01599999999999;0,004;0,018;0;0,01;-51,0600000000001;-72,048;72,046;-30,63;-21,13;"1"
"383";423,102;0,0740000000000001;0,77000000000001;2,8;0,04;-0,378000000000014;0,014;0,00600000000000001;0,018;0,00800000000000001;333,538;272,404;128,06;57,462;41,226;"1"
"384";238,188;0,036;11,404;1,39999999999999;0,046;6,054;0,042;-0,03;0,02;0,014;207,78;173,372;38,57;33,76;24,664;"1"
"385";-190,034;0,106;18,764;1,60000000000001;0,18;6,09;0,0600000000000001;0,036;0,02;-0,00599999999999999;-111,222;-154,014;-47,812;-10,594;-17,488;"1"
"386";-113,224;-0,01;-16,912;2,39999999999999;-0,0580000000000001;-10,132;-0,0679999999999999;0,00600000000000001;-0,00800000000000001;-0,02;-77,086;-87,496;-13,742;-14,946;-20,56;"1"
"387";-72,554;-0,052;7,34;-0,600000000000009;-0,046;3,03;0,016;-0,012;0,00599999999999999;0,012;-38,32;-28,824;-23,102;-2,41999999999999;0,379999999999995;"1"
"388";-565,322;-0,18;-34,928;-4;-0,274;-20,432;-0,134;0,012;-0,042;0,002;-497,516;-395,614;-134,502;-107,164;-82,902;"0"
"389";355,36;-0,0620000000000001;-18,92;-1;-0,0960000000000001;-13,218;-0,0600000000000001;-0,00600000000000001;-0,032;-0,022;220,522;234,148;111,416;16,044;20,396;"1"
"390";-75,14;-0,092;-14,882;-2,2;-0,148;-3,57599999999999;-0,056;-0,062;-0,024;-0,002;-58,902;-40,762;-20,728;-7,596;-3,702;"0"
"391";335,698;0,004;-2,072;0;-0,026;-1,48399999999998;-0,00800000000000001;0;0,00800000000000001;0,01;252,51;244,668;80,764;49,13;47,608;"1"
"392";263,97;-0,004;1,428;1;0,05;-0,591999999999985;0,00800000000000001;-0,024;0,00600000000000001;0,00800000000000001;216,592;183,744;41,424;47,75;32,51;"1"
"393";370,242;0,04;-4,96200000000002;-0,200000000000003;0,036;-5,86;0,004;0,004;-0,02;-0,018;248,558;254,704;109,052;28,08;28,288;"1"
"394";214,12;-0,026;-7,31200000000001;0,399999999999991;-0,0680000000000001;-4,34799999999998;-0,034;0,034;-0,00799999999999999;0,00399999999999999;198;159,67;53,408;54,82;41,302;"1"
"395";53,77;-0,2;-10,616;-11,2;-0,0580000000000001;-7,822;-0,038;-0,04;-0,00600000000000001;-0,00599999999999999;152,018;57,9160000000001;-45,744;62,534;25,858;"0"
"396";-59,364;-0,048;-0,102000000000004;-1,2;-0,056;1,57199999999999;-0,00600000000000001;-0,054;0;0,01;-37,756;-28,734;-26,8;2,542;5,506;"0"
"397";1440,58;0,116;10,112;3,2;0,132;5,01599999999999;0,042;-0,018;-0,004;-0,02;1169,76;978,432;380,57;190,634;149,46;"1"
"398";-266,644;0,012;-3,74600000000001;1,2;-0,01;-1,77199999999999;-0,018;0,00800000000000001;-0,016;-0,024;-211,19;-198,982;-59,536;-40,176;-38,112;"0"
"399";820,6;0,118;16,374;4,39999999999999;0,146;9,29600000000001;0,0679999999999999;-0,002;0,016;-0,012;618,636;547,488;212,362;102,504;86,646;"1"
"400";-19,096;0,196;22,2;6,60000000000001;0,222;17,43;0,088;-0,014;0,024;-0,072;-6,40400000000001;-23,284;-7,668;-0,606000000000002;-9,102;"1"
"401";17,942;0,0820000000000001;7,31999999999999;2,2;0,104;3,66200000000001;0,032;0,004;0,004;-0,002;26,412;-0,74799999999999;11,076;5,22999999999999;5,426;"1"
"402";-20,952;-0,19;-45,948;-3,40000000000001;-0,312;-29,77;-0,164;-0,024;-0,036;-0,004;-60,91;-7,24799999999999;-10,89;-10,926;-3,872;"0"
"403";-94,56;-0,0920000000000001;-7,80600000000001;-2;-0,134;-5,74200000000002;-0,04;0,00600000000000001;0,012;0,03;-69,202;-37,878;-42,1;11,152;15,84;"0"
"404";103,714;-0,022;-6,31599999999997;-2,19999999999999;-0,0720000000000001;-5,08799999999999;-0,02;-0,014;-0,018;-0,028;63,268;77,508;27,992;4,546;8,636;"1"
"405";-5,13400000000001;-0,0099999999999999;-10,1;-2,19999999999999;-0,004;-6,70599999999999;-0,032;0;-0,012;-0,026;-22,544;-7,358;6,276;-5,452;-4,104;"0"
"406";-294,17;-0,034;-16,974;1,2;-0,112;-7,42000000000002;-0,0680000000000001;0,048;-0,022;-0,00600000000000001;-233,046;-210,46;-60,014;-42,042;-36,502;"0"
"407";169,33;0,0640000000000001;12,708;1,59999999999999;0,0999999999999999;8,14999999999998;0,0580000000000001;-0,024;0,01;-0,00800000000000001;211,424;104,598;34,106;45,576;11,888;"1"
"408";716,13;0,02;3,07000000000002;0,599999999999994;-0,002;0,686000000000007;0,012;0,01;0,016;0,00599999999999999;631,934;517,616;69,862;167,696;118,138;"1"
"409";-324,898;-0,046;5,64600000000002;-1,60000000000001;0,0139999999999998;5,262;0,02;0,01;0,002;0,00600000000000001;-302,816;-217,614;-19,376;-99,07;-54,168;"1"
"410";-172,446;0,0720000000000001;14,374;0,799999999999997;0,102;6,43799999999999;0,04;0;0,024;-0,002;-79,06;-102,41;-88,058;18,208;4,166;"1"
"411";-176,542;-0,0439999999999998;9,17399999999998;-2;-0,04;2,25200000000001;0,03;-0,034;0,028;0,026;-81,5160000000001;-16,376;-87,702;56,322;44,574;"0"
"412";319,338;-0,042;10,754;-2,40000000000001;0,05;5,12800000000001;0,032;-0,024;0,034;0,00600000000000001;284,062;212,266;70,448;59,724;38,722;"1"
"413";1450,514;0,136;15,146;6,8;0,128;8,78599999999999;0,0559999999999999;0,042;0,00799999999999999;0;1183,574;987,886;392,956;201,898;161,386;"0"
"414";-106,32;-0,0620000000000001;-8,268;-1,39999999999999;-0,0800000000000001;-3,922;-0,028;-0,002;0,002;0,024;-69,018;-66,424;-35,144;-3,318;-6,646;"0"
"415";-556,822;-0,252;-21,038;-12,2;-0,184;-12,688;-0,0840000000000001;0,002;-0,016;0,00600000000000001;-422;-338,76;-138,99;-46,55;-37,99;"0"
"416";-215,728;-0,0700000000000001;-15,706;-2,2;-0,0900000000000001;-7,404;-0,0660000000000001;-0,016;-0,018;-0,004;-185,76;-164,716;-50,046;-41,442;-32,182;"0"
"417";-239,912;0,112;-2,114;4,39999999999999;0,12;-3,88200000000001;-0,004;0,052;-0,02;-0,024;-160,298;-194,056;-17,468;-29,736;-38,364;"0"
"418";100,756;-0,016;-12,484;3,40000000000001;-0,122;-6,73600000000002;-0,0559999999999999;0,036;-0,01;0,00799999999999999;-21,626;45,732;93,26;-31,292;-11,024;"0"
"419";1085,9;0,132;35,53;1;0,228;21,694;0,128;-0,058;0,04;0,016;991,626;673,856;281,342;176,508;112,348;"1"
"420";497,426;0,0899999999999999;11,804;3;0,132;5,96599999999998;0,0499999999999999;0,004;0,016;-0,01;556,12;292,55;66,0619999999999;151,086;65,856;"1"
"421";-1090,706;-0,0779999999999998;5,41399999999999;-3,40000000000001;-0,0780000000000001;2,392;0,00600000000000001;0,002;0,016;0,024;-857,694;-629,304;-242,504;-94,912;-47,854;"1"
"422";351,612;-0,016;2,678;-0,400000000000006;-0,022;1,05199999999999;0,00800000000000001;-0,018;0,004;0,00799999999999999;275,132;242,95;77,802;52,48;44,1;"1"
"423";-620,274;0,016;-0,174000000000007;0,599999999999994;0,026;2,92399999999998;0,00800000000000001;0,026;-0,01;-0,012;-509,796;-440,82;-104,722;-100,864;-89,022;"0"
"424";-581,518;-0,124;-10,29;-7;-0,124;-3,822;-0,04;-0,014;-0,02;-0,004;-473,236;-328,282;-179,314;-99,602;-72,156;"0"
"425";539,15;0,024;-6,07400000000001;1,8;-0,00800000000000001;-2,376;-0,024;0,046;-0,014;-0,012;448,886;377,916;136,81;90,652;75,872;"1"
"426";-700,256;-0,0980000000000001;-28,304;0;-0,13;-14,574;-0,104;0,038;-0,038;-0,012;-735,614;-533,344;-68,854;-190,664;-123,298;"1"
"427";-253,534;-0,106;-12,166;-2,59999999999999;-0,112;-6,994;-0,05;-0,00799999999999995;0,004;0,014;-204,016;-168,438;-87,84;-21,594;-18,18;"1"
"428";-148,934;0,0580000000000001;3,148;3,60000000000001;0,046;-0,552000000000021;0,00600000000000001;0,06;-0,00600000000000001;-0,012;-9,73599999999999;-97,6999999999999;-70,084;31,896;13,006;"1"
"429";471,198;0,002;6,03400000000002;-0,200000000000003;-0,02;4,38800000000001;0,012;0,046;-0,00600000000000001;-0,00600000000000001;335,766;333,96;239,726;40,668;45,4;"1"
"430";-531,348;-0,0760000000000001;-12,034;-1;-0,108;-5,47800000000001;-0,042;0,03;-0,022;0,012;-448,728;-342,11;-99,112;-90,756;-49,794;"0"
"431";72,8680000000001;0,162;7,108;7;0,156;4,008;0,0379999999999999;0,058;-0,01;-0,016;99,192;18,962;56,226;8,314;-3,792;"1"
"432";599,414;0,014;-8,62800000000001;1,60000000000001;-0,00800000000000001;-2,84399999999999;-0,0259999999999999;0,028;-0,026;-0,018;463,276;395,302;180,482;50,574;47,354;"1"
"433";-285,836;0,104;-0,893999999999977;8,6;-0,044;1,328;-0,004;0,038;0,01;0,02;-338,178;-212,688;-34,786;-81,774;-41,638;"1"
"434";483,818;0,032;6,44;-0,200000000000003;0,0359999999999998;4,37800000000001;0,018;0,016;-0,002;-0,00600000000000001;384,904;321,026;141,408;77,34;54,278;"1"
"435";-907,188;-0,0820000000000001;-9,25400000000002;-2,60000000000001;-0,112;-3,452;-0,038;0,00799999999999995;-0,00599999999999999;0,00799999999999999;-706,748;-606,318;-261,918;-104,038;-82,602;"1"
"436";-294,016;-0,04;-8,24200000000002;-1,59999999999999;-0,0579999999999998;-8,19199999999998;-0,03;0,022;0;0,00399999999999999;-266,382;-188,73;-25,654;-52,706;-43,338;"1"
"437";1992,172;0,0800000000000001;21,87;-0,200000000000003;0,152;10,582;0,0900000000000001;-0,074;0,044;0,028;1790,038;1378,666;317,44;354,564;264,118;"1"
"438";-411,066;-0,022;-1,81400000000002;0,600000000000009;-0,012;-0,115999999999985;-0,00600000000000001;0,014;-0,00399999999999999;0,016;-336,16;-278,792;-67,436;-69,656;-41,246;"1"
