"";"time1R";"time2R";"time1ACS";"time2ACS";"time1KAST";"time2KAST";"time1KD";"time2KD";"time1ADR";"time2ADR";"ganhador"
"178";0,92;1,076;195,24;207,78;68,6;72,6;0,914;1,108;128,58;135,2;0
"179";1,076;0,956;207,78;196,62;72,6;68,2;1,108;0,948;135,2;129,48;1
"180";0,954;0,992;190,24;196,88;69,8;70,4;0,922;0,974;124,22;127,78;0
"181";1,016;1,042;205,18;210,54;72,2;73,2;1,044;1,048;130,84;135,78;1
"182";0,992;0,946;196,88;207,2;70,4;67,4;0,974;0,956;127,78;134,62;1
"183";0,96;0,71;187,1;166,24;70,4;59,4;0,932;0,708;123,86;111,3;1
"184";1,008;0,948;207,24;212,96;71,2;67,4;1,012;0,964;134,3;139,14;1
"185";1,012;0,722;208,44;172,18;71,4;62,8;1,006;0,684;136,92;110,94;1
"186";0,916;0,908;191,66;191,76;68,6;66,8;0,91;0,888;126,02;124,52;1
"187";1,088;0,902;232,22;183,38;70,4;68;1,162;0,884;148,58;120,26;1
"188";0,896;0,968;190,02;197,02;68,4;68,2;0,882;0,964;127;128,76;0
"189";1,058;1,086;208,38;223,14;74,2;72,6;1,08;1,154;136,16;142,12;0
"190";0,888;0,89;188,96;185,64;65,8;66,4;0,88;0,89;124,78;122,6;0
"191";0,888;1,044;189,1;220,9;67,4;70,8;0,862;1,054;123,88;143,06;0
"192";1,086;1,04;223,14;208,26;72,6;71,2;1,154;1,052;142,12;135,74;1
"193";1,104;0,996;225,5;204,52;74;70,6;1,186;1,016;142,48;133,08;1
"194";1,016;0,888;198,98;189,1;70,4;67,4;0,978;0,862;131,42;123,88;0
"195";1,058;1,104;208,38;232,3;74,2;73,6;1,08;1,144;136,16;149,46;1
"196";0,998;1,044;221,56;220,9;69,8;70,8;1,058;1,054;142,96;143,06;0
"197";1,008;0,976;207,78;202,08;71,4;69,6;1,052;0,972;132,98;130,76;0
"198";0,858;0,896;186,92;190,02;65,8;68,4;0,866;0,882;120,8;127;0
"199";0,968;0,8;197,02;179,14;68,2;63,4;0,964;0,782;128,76;119,32;1
"200";1,086;1,056;223,14;213,38;72,6;71,4;1,154;1,084;142,12;138,88;1
"201";1,04;0,994;208,26;203,46;71,2;69,6;1,052;0,98;135,74;130,56;1
"202";1,008;0,99;202,98;205,88;70,8;69,8;1,002;0,986;130,76;134,68;1
"203";0,98;1,058;203,86;208,38;68;74,2;0,978;1,08;132,12;136,16;0
"204";1,034;1,104;214,6;232,3;71,8;73,6;1,088;1,144;138,94;149,46;0
"205";1,086;1,026;223,14;201,34;72,6;72,4;1,154;1,036;142,12;129,56;1
"206";1,008;1,056;202,98;213,38;70,8;71,4;1,002;1,084;130,76;138,88;0
"207";0,994;1,018;203,46;209,14;69,6;72,4;0,98;1,036;130,56;134,82;1
"208";0,914;1,044;194,16;220,9;66,6;70,8;0,888;1,054;126,74;143,06;0
"209";0,908;0,858;191,76;186,92;66,8;65,8;0,888;0,866;124,52;120,8;1
"210";1,046;0,98;211,06;203,86;71,8;68;1,076;0,978;136,9;132,12;0
