"";"time1RND";"time1R";"time1ACS";"time1KAST";"time1KD";"time1ADR";"time1KPR";"time1APR";"time1FKPR";"time1FDPR";"time1K";"time1D";"time1A";"time1FK";"time1FD";"time2RND";"time2R";"time2ACS";"time2KAST";"time2KD";"time2ADR";"time2KPR";"time2APR";"time2FKPR";"time2FDPR";"time2K";"time2D";"time2A";"time2FK";"time2FD";"ganhador"
"53";201,758;1,01;211,178;71,2;1,036;137,74;0,738;0,272;0,096;0,102;148,754;146,584;53,692;20,648;22,508;703,022;1,012;208,652;71;1,042;135,456;0,728;0,268;0,114;0,106;513,138;492,592;191,056;82,176;78,502;0
"54";774,37;0,976;194,926;71,8;0,998;125,796;0,692;0,274;0,092;0,086;504,238;533,214;214,786;63,654;63,012;107,56;0,944;195,668;69,6;0,924;127,878;0,67;0,292;0,076;0,1;68,534;75,692;31,614;7,814;9,15;1
"55";286,218;0,974;208,072;69,2;1,02;133,864;0,718;0,276;0,108;0,11;205,726;202,944;78,924;31,652;28,726;531,556;1,036;203,676;70,2;1,064;129,7;0,71;0,29;0,104;0,098;385,04;348,812;147,106;51,792;47,452;0
"56";447,528;1,054;211,138;71,2;1,074;135,284;0,74;0,282;0,114;0,106;340,662;316,21;115,26;61,29;55,464;338,096;0,942;199,768;70,6;0,936;133,648;0,7;0,276;0,1;0,104;236,924;251,774;91,266;33,516;34,748;1
"57";295,7;1,092;214,65;72;1,136;140,178;0,75;0,282;0,11;0,1;224,43;194,888;82,724;33,768;28,236;329,486;0,916;193,052;68,4;0,91;126,114;0,676;0,274;0,098;0,1;233,132;242,722;78,898;36,714;36,084;1
"58";940,782;1,05;223,414;71,8;1,072;142,138;0,774;0,272;0,132;0,124;774,538;695,746;218,458;157,254;131,32;195,014;0,952;207,604;69;0,956;135,236;0,712;0,306;0,104;0,102;144,902;144,362;58,922;21,872;20,46;1
"59";401,886;0,984;220,622;67,6;1,074;139,468;0,762;0,266;0,118;0,106;310,05;285,61;101,948;47,886;39,676;603,18;1,002;205,604;71,4;1,054;130,726;0,71;0,272;0,106;0,106;457,224;404,15;157,028;71,718;60,35;1
"60";603,18;1,002;205,604;71,4;1,054;130,726;0,71;0,272;0,106;0,106;457,224;404,15;157,028;71,718;60,35;350,246;0,988;206,992;70,2;1,008;134,34;0,724;0,276;0,1;0,11;255,91;250,13;90,71;38,308;38,568;1
"61";1892,866;1,038;208,146;71;1,074;132,406;0,724;0,292;0,11;0,104;1372,176;1257,406;573,01;204,422;183,666;1199,518;1,006;205,352;71,4;1,074;128,87;0,722;0,274;0,102;0,09;879,088;805,666;320,884;130,402;109,804;1
"62";2699,186;1,152;230,688;74,2;1,258;146,896;0,816;0,274;0,12;0,086;2281,576;1771,71;681,344;372,426;250,4;1512,664;1,03;217,646;69,4;1,146;141,048;0,76;0,26;0,11;0,102;1199,844;1013,076;375,918;177,964;147,27;1
"63";401,886;0,984;220,622;67,6;1,074;139,468;0,762;0,266;0,118;0,106;310,05;285,61;101,948;47,886;39,676;1008,954;1,036;218,672;71,6;1,064;141,588;0,748;0,31;0,108;0,104;749,276;692,068;382,088;105,068;98,272;1
