"";"pais1";"pais2"
"531";"Philippines";"Singapore"
"532";"China";"China"
"533";"South Korea";"Japan"
"534";"China";"China"
"535";"Portugal";"Portugal"
"536";"Germany";"Germany"
"537";"India";"India"
"538";"Portugal";"Portugal"
"539";"Poland";"Europe"
"540";"Portugal";"Portugal"
"541";"Hungary";"Europe"
"542";"Turkey";"Turkey"
"543";"Italy";"Italy"
"544";"Portugal";"Portugal"
"545";"Israel";"Czech Republic"
"546";"Brazil";"Brazil"
"547";"Italy";"Italy"
"548";"Europe";"Greece"
"549";"Italy";"Italy"
"550";"United States";"United States"
"551";"India";"South Korea"
"552";"Portugal";"Portugal"
"553";"Portugal";"Portugal"
"554";"United Kingdom";"Denmark"
"555";"Italy";"Italy"
"556";"Portugal";"Portugal"
"557";"Germany";"Germany"
"558";"Turkey";"Turkey"
"559";"Italy";"Italy"
"560";"Portugal";"Portugal"
"561";"Chile";"United States"
"562";"Italy";"Italy"
"563";"Germany";"Germany"
"564";"Europe";"United Kingdom"
"565";"Indonesia";"Indonesia"
"566";"China";"China"
"567";"Indonesia";"Indonesia"
"568";"Philippines";"Philippines"
"569";"Indonesia";"Indonesia"
"570";"Philippines";"Philippines"
"571";"Argentina";"Chile"
"572";"International";"Colombia"
"573";"China";"China"
"574";"Indonesia";"Indonesia"
"575";"Indonesia";"Indonesia"
"576";"China";"China"
"577";"Thailand";"Thailand"
"578";"Singapore";"Singapore"
"579";"Indonesia";"Indonesia"
"580";"Philippines";"Philippines"
"581";"Thailand";"Thailand"
"582";"China";"China"
"583";"India";"India"
"584";"Europe";"Turkey"
"585";"Chile";"Argentina"
"586";"United States";"United States"
"587";"United States";"International"
"588";"Mexico";"Mexico"
"589";"China";"China"
"590";"Indonesia";"Indonesia"
"591";"Australia";"Australia"
"592";"China";"China"
"593";"Australia";"Australia"
"594";"Taiwan";"Taiwan"
"595";"Indonesia";"Indonesia"
"596";"Thailand";"Thailand"
"597";"Singapore";"Singapore"
"598";"Taiwan";"Hong Kong"
"599";"Thailand";"Thailand"
"600";"China";"China"
"601";"Singapore";"Singapore"
"602";"India";"India"
"603";"Europe";"Turkey"
"604";"Europe";"Europe"
"605";"Brazil";"Brazil"
"606";"United States";"United States"
"607";"United States";"United States"
"608";"United States";"International"
"609";"United States";"International"
"610";"United States";"International"
"611";"United States";"United States"
"612";"United States";"International"
"613";"United States";"United States"
"614";"Brazil";"Brazil"
"615";"China";"Hong Kong"
"616";"China";"China"
"617";"Vietnam";"Vietnam"
"618";"Australia";"Australia"
"619";"China";"China"
"620";"Hong Kong";"Hong Kong"
"621";"Thailand";"Thailand"
"622";"Australia";"Australia"
"623";"Singapore";"Malaysia"
"624";"Vietnam";"Vietnam"
"625";"Taiwan";"Taiwan"
"626";"Thailand";"Thailand"
"627";"Singapore";"Singapore"
"628";"India";"India"
"629";"Europe";"France"
"630";"Europe";"Europe"
"631";"Indonesia";"Japan"
"632";"Hong Kong";"China"
"633";"South Korea";"Singapore"
"634";"China";"China"
"635";"Portugal";"Portugal"
"636";"Israel";"Europe"
"637";"Portugal";"Portugal"
"638";"Hungary";"Poland"
"639";"Europe";"Turkey"
"640";"Saudi Arabia";"Sweden"
"641";"Turkey";"Europe"
"642";"Turkey";"France"
"643";"France";"France"
"644";"Portugal";"Portugal"
"645";"Poland";"Europe"
"646";"France";"Netherlands"
"647";"Turkey";"Turkey"
"648";"Italy";"Italy"
"649";"Portugal";"Portugal"
"650";"France";"France"
"651";"United States";"Brazil"
"652";"Italy";"Italy"
"653";"France";"France"
"654";"Italy";"Italy"
"655";"France";"Europe"
"656";"Chile";"Brazil"
"657";"Hong Kong";"China"
"658";"Japan";"India"
"659";"China";"China"
"660";"Thailand";"South Korea"
"661";"Turkey";"Turkey"
"662";"Germany";"Germany"
"663";"India";"India"
"664";"Hungary";"Poland"
"665";"France";"Europe"
"666";"France";"France"
"667";"Turkey";"Turkey"
"668";"Czech Republic";"Europe"
"669";"France";"France"
"670";"United States";"United States"
"671";"Greece";"Israel"
"672";"France";"France"
"673";"France";"Netherlands"
"674";"Brazil";"Chile"
