"";"Player";"Team";"Rnd";"R";"ACS";"K:D";"KAST";"ADR";"HS%";"KMax";"IK"
"105";"nAts";"TL";4268;1,13;226,8;1,23;"74%";144;"29%";33;51
"106";"Verno";"OXGA";4128;1,13;205,7;1,2;"74%";136,5;"23%";29;92
"107";"Sentinal";"NHG";558;1,13;187,4;0,93;"80%";116,6;"14%";26;0
"108";"mimi";"NOR";1886;1,13;219,6;1,23;"75%";146,1;"26%";39;49
"109";"Chronicle";"FNC";4174;1,13;227,5;1,17;"74%";147,5;"24%";32;36
"110";"lauress";"PRL";3942;1,13;228,9;1,19;"75%";149,6;"30%";39;76
"111";"DeepMans";"PRL";958;1,13;253,3;1,24;"72%";161,5;"33%";34;48
"112";"JohnnyP";"BW";265;1,13;226,3;1,17;"74%";145,9;"29%";27;13
"113";"DraYstaR";"YFP";904;1,13;220,5;1,15;"75%";144;"25%";26;30
"114";"Demon1";"sqn";1787;1,12;245,3;1,28;"73%";160,8;"32%";33;129
"115";"DDcream";"Pent";145;1,12;185,4;0,75;"68%";127,9;"20%";17;-10
"116";"Neex";"Unge";565;1,12;216,2;1,04;"73%";146,8;"21%";25;22
"117";"HyS";"CWE";396;1,12;234,7;1,2;"71%";149,8;"28%";25;25
"118";"koalanoob";"NA";4809;1,12;240,1;1,23;"71%";148,2;"22%";39;213
"119";"ALIVE";"XL";3886;1,12;233,6;1,16;"70%";146,9;"23%";33;225
"120";"sheydos";"M3C";4084;1,12;223,1;1,26;"75%";144,3;"27%";36;142
"121";"kiNgg";"LEV";2831;1,12;231,9;1,19;"74%";146,8;"21%";32;100
"122";"keznit";"LEV";3007;1,12;260,7;1,21;"72%";163,6;"22%";37;125
"123";"kamo";"DSY";873;1,12;263,5;1,22;"70%";172,5;"29%";35;10
"124";"HaReeee";"RC";1679;1,12;229,2;1,08;"69%";143,8;"27%";30;52
"125";"Smoggy";"EDG";1545;1,12;240;1,24;"73%";155,4;"33%";32;28
"126";"Lakia";"DK";1812;1,12;223,3;1,16;"74%";142,2;"24%";30;24
"127";"ShoT_UP";"NYFU";5201;1,12;238,3;1,17;"72%";152,9;"26%";38;67
"128";"al1en";"DIA";1236;1,12;208,1;1,1;"75%";130,7;"20%";26;21
"129";"tokameite";"ANYW";74;1,12;239;1,09;"64%";149,2;"20%";19;-2
"130";"leaf";"C9";4082;1,12;248,4;1,14;"71%";156,9;"23%";31;82
"131";"Juicy";"BLD";1874;1,12;246;1,22;"73%";154,9;"27%";30;47
"132";"Pa1ze";"EnRo";341;1,12;259,8;1,18;"70%";164,8;"26%";27;2
"133";"M1KKET";"MAJT";177;1,12;238,4;1,2;"75%";163,3;"28%";25;9
"134";"nzr";"LEV";3312;1,12;219,4;1,23;"77%";142,6;"19%";35;32
"135";"clear";"sqn";1219;1,11;246,6;1,24;"70%";160,6;"34%";45;32
"136";"heat";"MIBR";3081;1,11;244,2;1,24;"70%";154,2;"30%";41;121
"137";"eeiu";"NRG";4758;1,11;213,5;1,14;"75%";142,3;"27%";31;45
"138";"bêk0";"FF.Y";276;1,11;230,3;1,14;"76%";147,5;"17%";25;15
"139";"edith";"GEN.B";388;1,11;255,2;1,26;"70%";161,3;"26%";27;11
"140";"DGRj";"KE";126;1,11;216;1,11;"73%";136,2;"28%";22;-2
"141";"Xure";"SPG";75;1,11;237,7;1,15;"72%";156,4;"20%";23;2
"142";"mwzera";"FUR";3546;1,11;266,2;1,26;"73%";167,3;"16%";38;193
"143";"Brookelynn";"TMV";891;1,11;241,9;1,18;"71%";151,4;"20%";36;64
"144";"Horcus";"AG";200;1,11;244,1;1,12;"69%";148,3;"21%";23;3
"145";"Petra";"G2.G";1886;1,11;207,1;1,13;"75%";136,4;"22%";31;6
"146";"crazyguy";"BLD";2085;1,11;221,3;1,13;"74%";145,9;"26%";33;-9
"147";"florescent";"MSF";1039;1,11;268,4;1,19;"68%";172,5;"31%";32;19
"148";"pancada";"SEN";3056;1,11;205,6;1,17;"76%";132,9;"29%";26;50
"149";"Kylee";"CHK";639;1,11;237,3;1,24;"69%";151,5;"37%";35;33
"150";"russ";"GIA";2770;1,11;231,6;1,17;"73%";148,9;"29%";33;71
"151";"shishaEva";"Aeon";125;1,11;183,1;0,83;"74%";113,4;"20%";23;-10
"152";"PxS";"Rise";1005;1,11;250;1,15;"72%";158,5;"19%";29;64
"153";"Dobsha";"EXL";1781;1,11;226,2;1,22;"71%";139,4;"21%";30;63
"154";"zekken";"SEN";4764;1,11;236,1;1,16;"73%";153,6;"22%";34;106
"155";"Fit1nho";"GIA";3565;1,11;232,2;1,17;"74%";144,3;"22%";31;134
"156";"proxima";"NAVI.C";2297;1,11;201,2;1,21;"76%";132,7;"26%";39;22
"157";"Juls";"GS";65;1,11;152,3;0,72;"73%";104,8;"18%";16;-2
"158";"azury";"CGN";963;1,11;211,2;1,14;"69%";135,3;"25%";31;-26
"159";"amp";"Left";473;1,1;213,4;0,98;"64%";132,7;"19%";23;6
"160";"didii";"RBLS";592;1,1;231,9;1,15;"73%";154,9;"23%";28;28
"161";"rDeeW";"BOBO";2896;1,1;218,7;1,18;"72%";136,8;"25%";29;68
"162";"Jady";"BAR";3439;1,1;223,5;1,16;"74%";143,2;"31%";30;68
"163";"gb";"Moto";83;1,1;257,8;1,16;"70%";153,6;"24%";23;0
"164";"Km3";"AWK";101;1,1;229,6;1,07;"68%";143;"22%";21;-5
"165";"juliano";"G2.G";1886;1,1;238,2;1,17;"72%";155;"22%";31;28
"166";"Tarathiel";"JJLF";711;1,1;205,8;1,12;"78%";133,4;"22%";26;-3
"167";"YESicaN";"FCY";3351;1,1;212,5;1,09;"75%";138,4;"25%";30;47
"168";"JAMTER";"Oxuj";520;1,1;222,5;1,17;"71%";146,2;"39%";26;-3
"169";"balua";"GA";680;1,1;236,3;1,09;"73%";152,4;"23%";36;26
"170";"SUYGETSU";"NAVI";4694;1,1;210,3;1,17;"74%";137,4;"31%";36;95
"171";"Xeppaa";"C9";2731;1,1;224,2;1,11;"75%";143,9;"20%";29;4
"172";"xeta";"T1";3504;1,1;193,6;1,07;"77%";126,6;"22%";37;4
"173";"Tacolilla";"LEV";3019;1,1;218;1,16;"72%";136,4;"20%";30;92
"174";"Lime";"FKS";1341;1,1;227;1,14;"71%";147,9;"28%";29;45
"175";"c4Lypso";"NA";4270;1,1;219,9;1,2;"71%";139,6;"31%";34;165
"176";"brax";"T1";1677;1,1;210,8;1,15;"75%";138,7;"30%";25;45
"177";"Vue3";"BB";249;1,1;175,4;0,8;"77%";109,8;"24%";23;-3
"178";"toru";"LAG";176;1,1;171,7;0,75;"68%";120,2;"16%";17;7
"179";"skuba";"ex-S";4372;1,1;211,8;1,16;"74%";137,7;"29%";36;32
"180";"eugeneS";"GR G";227;1,1;234,8;1,14;"72%";150,6;"29%";25;7
"181";"BABYBAY";"FaZe";4493;1,1;245,3;1,14;"71%";152,8;"18%";33;172
"182";"Kant";"VPZ";346;1,1;220,7;1;"70%";148,6;"23%";27;16
"183";"AtaKaptan";"FUT";2187;1,1;213,4;1,06;"72%";137,7;"28%";37;13
"184";"lil";"beef";52;1,1;225;1,11;"77%";141,8;"28%";27;1
"185";"jON4Y";"xd";386;1,1;198,1;0,95;"78%";131,4;"23%";26;-3
"186";"Bazzi";"GES";2165;1,1;222,2;1,08;"72%";140,7;"16%";35;50
"187";"Izzy";"SMB";2499;1,09;232,3;1,21;"72%";146,5;"22%";35;91
"188";"Lmemore";"RRQ";3822;1,09;217,5;1,13;"73%";140,9;"33%";32;101
"189";"Warp";"3UK2";63;1,09;217,7;0,9;"63%";135,6;"17%";22;-6
"190";"hoody";"GIA";4204;1,09;226,1;1,12;"74%";143,6;"25%";30;130
"191";"wrld";"Fall";335;1,09;252,8;1,23;"71%";162,6;"26%";32;7
"192";"SebitA";"Rebi";142;1,09;264,3;1,17;"71%";160;"24%";31;14
"193";"DPS";"OG";824;1,09;207,5;1,03;"75%";133,1;"27%";25;8
"194";"Meiy";"CR";1828;1,09;227,2;1,13;"73%";142,5;"22%";35;58
"195";"Less";"LOUD";1883;1,09;211,5;1,16;"72%";136,8;"22%";33;21
"196";"xms";"KCORP";1757;1,09;210,3;1,13;"73%";137;"29%";33;15
"197";"Patiphan";"TLN";1456;1,09;248,6;1,15;"71%";153,4;"22%";30;76
"198";"Genghsta";"PK";6388;1,09;201,8;1,07;"76%";137,6;"26%";34;115
"199";"Masic";"PRL";2701;1,09;227,1;1,17;"72%";145,7;"25%";44;135
"200";"Wolfen";"CASE";2051;1,09;228,5;1,1;"72%";146,4;"30%";30;28
"201";"Autumn";"GOM";2602;1,09;231,6;1,16;"72%";140,9;"22%";34;128
"202";"Zyppan";"NAVI";5138;1,09;235,7;1,13;"72%";150;"26%";39;161
"203";"jzz";"MIBR";1192;1,09;248,3;1,14;"71%";158,3;"27%";32;62
"204";"bdog";"SR";4167;1,09;220,4;1,16;"71%";140,7;"22%";40;119
"205";"tomaszy";"RBLS";941;1,09;260,8;1,16;"70%";170;"33%";33;22
"206";"alvar";"FLC";2823;1,09;238,3;1,17;"69%";151,5;"28%";33;53
"207";"johnqt";"G/B";2681;1,09;205,1;1,14;"75%";133,9;"25%";28;65
"208";"XXiF";"PK";5289;1,09;214,5;1,1;"73%";141,2;"25%";36;116
"209";"vo0kashu";"RBLS";2669;1,09;225,6;1,15;"73%";148,2;"27%";33;34
"210";"Zanatsu";"ROLO";1495;1,09;239,4;1,08;"71%";156,1;"23%";26;33
"211";"fame";"GLP";231;1,09;204,4;1,08;"74%";123,7;"22%";24;11
"212";"tixx";"BOBO";1202;1,09;216,5;1,11;"75%";143;"28%";32;18
"213";"Mickebwoy";"BDS";2210;1,09;205,3;1,08;"74%";134,4;"23%";32;23
"214";"PTC";"MiTH";4758;1,09;222,9;1,14;"73%";141,8;"23%";36;117
"215";"cinnamon";"GLD.X";2574;1,09;222,3;1,12;"74%";144,4;"24%";35;19
"216";"SicK";"SEN";5997;1,09;223,3;1,17;"75%";142,4;"24%";38;153
"217";"t3xture";"GES";2175;1,09;250,7;1,18;"69%";156,3;"25%";31;57
"218";"Mary";"MENA";815;1,09;231,5;1,18;"73%";152,1;"33%";26;-11
"219";"ZmjjKK";"EDG";2441;1,09;265,4;1,2;"70%";161,7;"21%";43;152
"220";"Life";"ASE";2021;1,09;236,4;1,13;"71%";151,4;"29%";37;38
"221";"RgLMeister";"MIBR";1333;1,09;204,9;1,12;"76%";135,5;"22%";31;-9
"222";"Benkai";"PRX";5192;1,09;187,8;1,1;"75%";122,8;"23%";26;0
"223";"Neon";"DNAD";4898;1,09;218,8;1,14;"72%";137,5;"18%";40;167
"224";"Nelo";"TEN.N";2063;1,09;222,7;1,16;"74%";146,8;"30%";31;64
"225";"fReeze";"Case";611;1,09;216,1;1,11;"73%";136;"26%";29;1
"226";"L4CE";"GX3";1711;1,09;201,3;1,09;"74%";135,5;"30%";27;4
"227";"xavi8k";"WS";2092;1,09;239,9;1,1;"73%";154,6;"19%";33;21
"228";"brawk";"G/B";4339;1,09;201,6;1,05;"75%";136,1;"22%";29;13
"229";"nomfu";"KGM";1849;1,09;237;1,18;"69%";148,3;"26%";32;84
"230";"VTaguT";"ARZ";1569;1,08;202,1;1,06;"75%";134,7;"30%";30;10
"231";"nabbsky";"AECL";1222;1,08;199,6;1,09;"75%";132,9;"20%";27;20
"232";"Katu";"TQ";3671;1,08;223,1;1,08;"71%";147,7;"30%";30;46
"233";"v1c";"SR";2908;1,08;215,7;1,07;"74%";142,6;"26%";30;-24
"234";"Moe40";"XL";3331;1,08;209,4;1,09;"74%";139,5;"29%";34;30
"235";"Derrek";"100T";4243;1,08;199,4;1,05;"74%";132,2;"28%";28;85
"236";"saadhak";"LOUD";3250;1,08;215,2;1,1;"73%";137,1;"19%";28;-10
"237";"Winteryrook";"TU";3617;1,08;234,8;1,08;"71%";148,7;"23%";36;31
"238";"Kadoom";"SPE";3482;1,08;247,4;1,12;"71%";156,8;"25%";29;118
"239";"eNes";"AT";165;1,08;204,1;1,08;"70%";136;"24%";22;-2
"240";"JAIGRAYRAY";"47";264;1,08;208,1;1,16;"72%";130,4;"27%";28;2
"241";"LAMMYSNAX";"FS";4214;1,08;209;1,11;"75%";139;"23%";29;-6
"242";"SPEEDRACER88";"SamP";146;1,08;213;1,08;"73%";150,5;"30%";24;3
"243";"corey";"TSM";4828;1,08;233,2;1,13;"72%";153,7;"25%";35;105
"244";"KaweNtw";"AMZ";91;1,08;239,4;1,22;"67%";160,4;"24%";25;2
"245";"ardiis";"NRG";4294;1,08;233,1;1,15;"72%";148,2;"20%";35;186
"246";"MrFaliN";"FUT";2890;1,08;211,1;1,08;"75%";139,8;"23%";41;4
"247";"vascalizz";"ARF";2626;1,08;213,1;1,04;"74%";138,4;"20%";29;4
"248";"Ange";"DZ";5969;1,08;196,9;1,09;"73%";128;"24%";35;7
"249";"Aanszo";"AVM";353;1,08;231,4;1,14;"72%";151,6;"32%";28;4
"250";"Kicks";"bonk";1591;1,08;220,6;1,09;"71%";140,1;"23%";24;-18
"251";"Leu";"GGO";453;1,08;228,7;1,1;"71%";141,1;"19%";33;6
"252";"frz";"MIBR";3019;1,08;210,6;1,2;"74%";134,7;"24%";33;39
"253";"DEQ";"YF";152;1,08;244,1;1,21;"68%";154,1;"37%";28;12
"254";"Kwixy";"RN";2976;1,08;195,7;0,99;"75%";133,7;"26%";34;23
"255";"Scarlett";"RBLS";572;1,08;228;1,12;"73%";146,6;"22%";25;34
"256";"romi";"KRÜ.F";889;1,08;226,5;1,16;"73%";148,9;"26%";28;32
"257";"Sand";"EGYPT";2166;1,08;215,7;1,11;"72%";141,5;"28%";32;33
"258";"penny";"V1";4086;1,08;232,2;1,15;"72%";145,5;"21%";33;63
"259";"kellyS";"RRQ";1241;1,08;243,6;1,09;"71%";156,2;"21%";34;35
"260";"Smurfette";"TUR";2574;1,08;245;1,15;"70%";155,2;"23%";32;50
"261";"1ndra";"Team";1126;1,08;230,7;1,12;"69%";155,2;"23%";33;29
"262";"invy";"TS";2329;1,08;224,1;1,11;"73%";147,6;"30%";33;-1
"263";"CHICHOO";"EDG";1869;1,08;196,9;1,08;"74%";131,3;"29%";30;-2
"264";"Biel";"KG";294;1,08;225,4;1,09;"71%";144,7;"25%";24;10
"265";"QutionerX";"BBL";1571;1,08;229,2;1,14;"71%";149,3;"24%";44;56
"266";"sterben";"FF";4131;1,08;209;1,1;"73%";137,4;"30%";39;-34
"267";"KeNNy";"RC";58;1,08;220;1,05;"62%";151,2;"18%";23;0
"268";"kalita";"KRÜ.F";889;1,08;203;1,08;"75%";136,5;"22%";26;9
"269";"Jinx";"E36";809;1,08;219,4;0,96;"69%";138,8;"21%";24;-28
"270";"Ayam";"Bakar
																			BSTR";236;1,08;222,8;1,06;"71%";139,9;"18%";26;8
"271";"avery";"DART";646;1,08;220,2;1,15;"69%";146,4;"26%";28;13
"272";"RND";"LOS";1445;1,08;232,1;1,16;"68%";144,3;"22%";37;83
"273";"Sztwo";"Totoro";164;1,08;202,6;1,16;"76%";130,2;"22%";23;3
"274";"lowel";"TH";2528;1,08;195,8;1,23;"75%";127,3;"25%";26;20
"275";"mimii";"WSF";549;1,08;214;1,14;"72%";138,4;"32%";34;23
"276";"Bob";"C9W";5199;1,08;202,6;1,04;"74%";133,1;"26%";31;10
"277";"Famouz";"BME";2859;1,08;247,7;1,15;"72%";159,6;"17%";33;58
"278";"PowerPixele";"GX3";1103;1,08;215;1,11;"75%";137,9;"20%";33;-11
"279";"kAdavra";"BDS";3277;1,08;233,4;1,19;"71%";146,8;"28%";36;107
"280";"trent";"TGRD";2780;1,08;220,2;1,11;"74%";146,6;"30%";35;20
"281";"sayuri";"B4A";1443;1,08;201,6;1,03;"75%";131,8;"15%";24;-36
"282";"shirazi";"BRNV";1007;1,07;219;1,05;"73%";143,6;"21%";29;-11
"283";"STYRON";"GMN";1443;1,07;215,9;1,12;"74%";145,9;"23%";30;4
"284";"ZexRow";"DR";4454;1,07;216,1;1,13;"71%";138,2;"21%";30;106
"285";"Reduxx";"OXGA";5497;1,07;239,7;1,13;"69%";154,6;"26%";34;121
"286";"Shiro";"BME";3368;1,07;198,6;1,07;"75%";133;"26%";28;83
"287";"Ninou";"RIX";2315;1,07;199,2;1,07;"76%";131,4;"22%";29;-20
"288";"phz";"3P";143;1,07;200,9;0,85;"63%";123,4;"23%";22;-5
"289";"m4ndzin";"ODK";1066;1,07;225,4;1,08;"71%";147,6;"23%";28;-1
"290";"cauanzin";"LOUD";1404;1,07;209,7;1,04;"74%";137,3;"22%";32;-1
"291";"mimiFPS";"TMV";610;1,07;235,9;1,14;"70%";154,2;"28%";31;-4
"292";"waddle";"HEET";2030;1,07;206,7;1,04;"73%";135,6;"28%";29;42
"293";"Grmekista";"DIA";1597;1,07;207,8;1,09;"71%";137;"20%";36;11
"294";"LBY";"EVA";220;1,07;164,2;0,73;"78%";96,3;"20%";16;-4
"295";"DeadFox";"HEET";804;1,07;219,7;1,09;"70%";131,9;"25%";28;-1
"296";"isa1";"DLR";1162;1,07;218,8;1,12;"69%";137,3;"18%";27;27
"297";"stax";"DRX";3737;1,07;199,6;1,18;"75%";128,4;"33%";29;-11
"298";"ZiXuan";"FPX.ZQ";77;1,07;244;1,12;"70%";134,6;"17%";20;0
"299";"runi";"SQ";4523;1,07;207,6;1,05;"74%";139,2;"25%";31;51
"300";"NagZ";"KRÜ";3472;1,07;216,1;1,17;"71%";137;"21%";29;154
"301";"ZesBeeW";"BTR";3260;1,07;238,1;1,21;"72%";150,1;"22%";39;118
"302";"whz";"Toe";1634;1,07;263,5;1,14;"69%";164,2;"30%";34;104
"303";"eva";"BBL.Q";1186;1,07;206;1,12;"74%";136,8;"27%";33;5
"304";"Avez";"RAAD";2476;1,07;235;1,11;"69%";148,8;"27%";31;34
"305";"seven";"TSM";3621;1,07;234,5;1,15;"71%";146,9;"19%";43;75
"306";"Ptf0x";"uP";50;1,07;217,5;1,12;"66%";140,5;"20%";26;0
"307";"BcJ";"EG";4720;1,07;206,7;1,06;"75%";136,7;"19%";33;0
"308";"tex";"NRG";4248;1,07;226,1;1,1;"71%";145,6;"30%";32;90
"309";"pog";"Mustang";63;1,07;200,7;0,95;"75%";139,3;"30%";20;3
"310";"Jazzyk1ns";"C9W";2823;1,07;232,9;1,1;"72%";152,2;"21%";30;24
