"";"time1RND";"time1R";"time1ACS";"time1KAST";"time1KD";"time1ADR";"time1KPR";"time1APR";"time1FKPR";"time1FDPR";"time1K";"time1D";"time1A";"time1FK";"time1FD";"time2RND";"time2R";"time2ACS";"time2KAST";"time2KD";"time2ADR";"time2KPR";"time2APR";"time2FKPR";"time2FDPR";"time2K";"time2D";"time2A";"time2FK";"time2FD";"ganhador"
"329";978,58;0,932;189,95;67,2;0,956;124,516;0,66;0,31;0,076;0,088;646,448;656,656;336,66;68,212;76,188;541,432;1,034;216,11;70,2;1,06;138,816;0,754;0,282;0,114;0,1;425,632;400,52;144,948;78,478;66,602;0
"330";1005,356;0,946;217,114;64,2;1,108;135,002;0,76;0,274;0,116;0,104;767,652;687,028;284,63;127,09;98,536;1262,428;0,992;207,876;68,8;1,108;132,682;0,73;0,278;0,094;0,086;942,722;794,604;307,33;122,916;96,042;0
"331";2160,296;1,026;212,298;69,2;1,1;135,486;0,738;0,264;0,122;0,1;1668,698;1470,518;574,056;307,582;233,156;1684,804;1,092;219,912;73,2;1,154;141,106;0,768;0,278;0,114;0,092;1355,096;1146,986;456,502;220,204;162,982;0
"332";813,972;0,988;207,074;69,6;1,068;132,588;0,73;0,244;0,114;0,096;633,828;547,252;170,228;107,19;79,128;431,444;1,01;217,128;70,6;1,04;140,634;0,76;0,238;0,12;0,114;330,798;308,082;99,058;49,82;43,234;0
"333";679,032;1,084;213,432;73,6;1,116;137,222;0,762;0,25;0,12;0,096;517,106;463,988;160,046;84,94;68,454;1157,018;0,934;198,82;67,6;0,968;127,874;0,704;0,244;0,122;0,116;940,896;844,016;174,884;202,42;159,684;1
"334";800,216;1,052;220,158;70,6;1,098;138,938;0,772;0,256;0,132;0,118;624,668;543,132;221,62;102,516;80,038;509,71;0,878;205,97;62,6;1,048;130,702;0,72;0,304;0,092;0,11;373,502;345,566;140,816;53,834;49,85;1
"335";765,466;0,896;205,386;65;1,022;132,842;0,724;0,286;0,102;0,098;576,23;533,444;228,866;79,102;73,202;350,246;0,988;206,992;70,2;1,008;134,34;0,724;0,276;0,1;0,11;255,91;250,13;90,71;38,308;38,568;0
"336";266,182;1,022;199,32;72,4;1,008;129,68;0,684;0,334;0,092;0,09;200;182,606;82,424;29,57;25,336;194,76;0,982;203,172;69;0,982;131,144;0,706;0,27;0,104;0,114;133,746;138,804;48,078;18,918;19,522;1
"337";360,904;1,044;208,374;72;1,088;134,754;0,732;0,294;0,094;0,096;254,246;252,8;101,724;34,272;35,96;108,736;1,026;208,716;75;0,988;139,26;0,724;0,324;0,104;0,094;78,514;80,034;31,866;11,7;9,768;1
"338";1578,018;1,076;219,574;72;1,11;142,116;0,772;0,26;0,116;0,106;1254,444;1105,234;379,732;210,694;177,514;810,266;1,058;218,922;71;1,138;141,404;0,77;0,246;0,132;0,104;616,404;552,546;207,958;104,29;81,036;0
"339";998,86;1,02;202,086;71,6;1,05;132,036;0,712;0,284;0,094;0,086;800,784;677,146;244,008;133,26;103,65;894,858;1,046;217,112;70,2;1,126;139,676;0,77;0,244;0,104;0,1;711,05;614,638;206,074;110,674;94,258;0
"340";973,388;1,02;216,608;69,6;1,078;139,52;0,746;0,294;0,116;0,1;707,474;658,784;295,694;99,098;82,752;534,306;0,928;192,13;68,8;0,916;126,486;0,662;0,28;0,096;0,108;380,816;394,17;127,282;71,238;72,464;1
"341";529,812;0,982;201,84;70,2;0,974;132,02;0,702;0,274;0,102;0,102;375,674;380,232;133,066;59,4;56,882;265,86;0,922;196,94;66,6;0,92;127,874;0,676;0,294;0,098;0,116;181,79;200,412;77,326;28,004;30,568;0
"342";935,726;1,016;207,426;70,8;1,034;133,698;0,724;0,254;0,102;0,1;685,92;651,552;237,886;98,344;94,028;2056,79;1,08;212,19;73,6;1,104;137,316;0,744;0,3;0,108;0,092;1525,044;1363,364;636,76;213,104;170,5;1
"343";900,702;1,022;222,276;69,2;1,092;141,39;0,774;0,268;0,122;0,108;697,418;626,506;238,342;99,558;86,818;963,022;1,004;206,172;68,4;1,076;133,058;0,734;0,236;0,106;0,098;723,574;655,83;225,594;116,484;99,808;1
"344";395,124;1,038;215,03;70,4;1,084;139,308;0,752;0,254;0,118;0,104;301,348;279,876;99,292;52,828;45,712;436,386;0,91;197,712;67,8;0,934;129,21;0,688;0,254;0,098;0,106;322,036;316,624;100,116;49,372;50,556;1
"345";1324,674;1,098;222,42;73,4;1,15;143,65;0,784;0,298;0,108;0,09;1071,138;908,834;360,91;166,026;129,866;1509,96;1,07;212,98;72,6;1,126;138,484;0,754;0,256;0,108;0,098;1161,316;1006,022;370,45;181,67;157,174;1
"346";449,708;0,974;196,95;70;0,964;128,834;0,69;0,272;0,098;0,108;314,794;319,326;122,534;44,1;42,812;363,802;1,014;215,33;70,6;1,04;139,684;0,744;0,278;0,102;0,114;265,638;257,508;110,306;36,12;39,596;1
