"";"time1R";"time2R";"time1ACS";"time2ACS";"time1KAST";"time2KAST";"time1KD";"time2KD";"time1ADR";"time2ADR";"ganhador"
"483";1,048;1,01;209,914;211,63;72,4;68,8;1,07;1,086;133,4;137,034;0
"484";1,02;1,028;215,634;203,96;68,8;70,6;1,062;1,068;140,448;129,57;0
"485";1,084;1,058;225,97;218,922;72,2;71;1,156;1,138;143,582;141,404;0
"486";0,99;1,012;202,434;209,052;70,4;71,2;0,994;1,044;132,016;134,592;0
"487";1,022;0,992;215,944;207,876;71,2;68,8;1,04;1,108;138,472;132,682;0
"488";0,912;1,082;197,576;213,194;67,6;73,6;0,934;1,112;129,08;137,086;1
"489";1,108;0,926;223,73;197,618;72,6;66,8;1,158;0,928;144,844;128,082;1
"490";0,996;1,008;198,896;222,092;71;69,8;0,98;1,078;128,67;142,546;0
"491";1,06;1,034;211,526;217,568;71,8;71;1,11;1,106;138,42;137,924;1
"492";0,87;1,014;187,702;216,414;64,8;70;0,874;1,056;123,476;139,512;0
"493";1;1,018;210,714;201,218;68,4;71,8;1,124;1,05;132,926;131,684;1
"494";1,022;0,992;222,276;202,212;69,2;69,6;1,092;1,04;141,39;131,94;1
"495";1,158;0,982;226,054;214,446;74,8;69,8;1,222;1,006;147,304;140,094;1
"496";1,008;1,036;215,126;209,368;69,6;70,8;1,03;1,078;137,59;134,592;0
"497";0,992;1,09;205,938;217,708;69;72;1,048;1,152;132,538;141,852;0
"498";0,978;0,924;212,196;191,738;68,6;68,4;1,04;0,91;137,16;126,416;1
"499";0,98;0,978;197,514;201,942;70;70,2;0,97;0,974;129,066;132,14;1
"500";1,07;1,046;212,98;224,424;72,6;70,4;1,126;1,152;138,484;143,992;1
"501";1,026;1,026;216,298;212,658;71,2;72;1,054;1,046;138,2;138,268;0
"502";1,008;1,004;212,526;210,084;69,8;70,6;1,104;1,064;136,93;135,796;0
"503";0,946;1,058;201,454;214,758;70;73,4;0,924;1,07;132,942;140,866;0
"504";0,956;0,996;198,718;201,274;71;70,2;0,932;1,03;130,356;131,518;0
"505";0,942;0,956;215,24;209,09;66,4;69;0,992;0,97;137,79;136,216;0
"506";1,05;1,088;211,246;221,598;71,8;73,2;1,04;1,162;136,564;140,014;0
"507";1,056;1,108;222,42;213,38;70,2;74;1,086;1,142;142,536;137,916;1
"508";1,034;1,082;216,11;213,194;70,2;73,6;1,06;1,112;138,816;137,086;1
"509";1,122;0,896;235,162;187,454;72;68,2;1,232;0,89;151,72;121,142;1
"510";1,022;0,998;215,944;205,068;71,2;68,8;1,04;1,058;138,472;131,302;1
"511";1,062;1,088;215,372;221,004;72,6;72;1,096;1,17;140,806;142,508;1
"512";0,89;1;212,16;205,178;59,6;70,6;1,054;1,028;137,978;132,462;1
"513";0,94;1,038;198,944;215,03;67,6;70,4;0,972;1,084;128,776;139,308;0
"514";1,024;1,022;211,816;222,276;70,4;69,2;1,084;1,092;137,56;141,39;1
"515";1,084;1,014;225,97;216,414;72,2;70;1,156;1,056;143,582;139,512;1
"516";1,032;1,1;210,708;236,356;71;69,4;1,132;1,224;134,928;150,938;1
"517";0,988;1,084;207,074;222,22;69,6;72,8;1,068;1,156;132,588;143,456;1
"518";0,912;1,09;197,576;221,938;67,6;72,4;0,934;1,17;129,08;142,86;0
"519";1,122;1,01;235,162;208,836;72;69,8;1,232;1,082;151,72;134,93;1
"520";1,046;1,092;217,112;202,662;70,2;74,2;1,126;1,114;139,676;132,686;0
