"";"time1R";"time2R";"time1ACS";"time2ACS";"time1KAST";"time2KAST";"time1KD";"time2KD";"time1ADR";"time2ADR";"ganhador"
"487";0,826;0,76;178,86;181,22;64,4;57,8;0,798;0,756;118,88;120,36;1
"488";0,76;0,942;181,22;199;57,8;68,6;0,756;0,934;120,36;128,2;0
"489";0,97;0,978;199,22;205,38;69;69,6;0,956;0,996;131,44;134,44;0
"490";0,962;1,098;203,68;222,62;69,4;73,8;0,96;1,148;133,3;143,92;0
"491";1,06;0,984;208,94;208,6;73;68,6;1,07;0,99;135,32;135,36;1
"492";0,97;0,824;199,22;182,26;69;65,2;0,956;0,798;131,44;122,1;1
"493";0,978;0,956;205,38;212,14;69,6;68,2;0,996;0,962;134,44;138,12;1
"494";1,008;1,008;202,98;206,86;70,8;71,2;1,002;1,004;130,76;135,52;0
"495";0,886;0,992;191,96;204,34;65,6;70,2;0,868;1,046;124,18;131,34;0
"496";0,934;1,016;195,2;220,62;68,8;69,2;0,932;1,058;128,5;140,32;0
"497";1,034;0,968;212,22;197,02;71,2;68,2;1,052;0,964;136,72;128,76;1
"498";0,966;1,008;197,78;206,86;69;71,2;0,96;1,004;128,24;135,52;0
"499";1,034;0,986;212,22;200,72;71,2;72,4;1,052;0,986;136,72;130,06;1
"500";0,992;1,016;204,34;220,62;70,2;69,2;1,046;1,058;131,34;140,32;1
"501";0,934;1,008;195,2;202,98;68,8;70,8;0,932;1,002;128,5;130,76;1
"502";0,902;1,038;193,56;208,86;67,8;70,6;0,924;1,068;124,72;136,06;0
"503";1,146;0,884;229,9;191,7;75,2;65,4;1,186;0,86;146,66;129,26;1
"504";1,022;1,038;212,58;208,86;70,8;70,6;1,07;1,068;138,66;136,06;0
"505";1,028;0,988;205,48;205,76;71,2;71,2;1,048;1,002;131,98;132,44;0
"506";1,06;1,022;215,36;212,58;72,4;70,8;1,052;1,07;139,32;138,66;1
"507";0,884;1,01;191,7;207,26;65,4;71;0,86;0,996;129,26;137,44;1
"508";0,794;0,942;178,06;199;62,8;68,6;0,766;0,934;118,32;128,2;0
"509";0,824;0,808;182,26;176,02;65,2;65,4;0,798;0,762;122,1;116,44;1
"510";1,098;0,89;222,62;196,18;73,8;66,8;1,148;0,904;143,92;128,38;1
"511";1,02;0,75;207,32;173,58;71,2;60,2;1,01;0,738;133,06;113,84;0
"512";0,726;0,82;166,76;177,38;62;64,8;0,708;0,794;111,14;116,3;1
"513";0,986;0,994;203,16;203,46;70;69,6;0,976;0,98;133,04;130,56;0
"514";1,028;0,902;205,48;193,56;71,2;67,8;1,048;0,924;131,98;124,72;1
"515";1,038;1,06;208,86;215,36;70,6;72,4;1,068;1,052;136,06;139,32;0
"516";1,076;1,06;217,44;215,36;73;72,4;1,104;1,052;140,02;139,32;0
"517";0,978;0,572;205,38;151,46;69,6;50,8;0,996;0,53;134,44;103,02;1
"518";0,916;0,75;188,02;173,58;68,2;60,2;0,882;0,738;123,64;113,84;0
"519";1,02;0,992;207,32;204,34;71,2;70,2;1,01;1,046;133,06;131,34;0
"520";0,992;0,75;204,34;173,58;70,2;60,2;1,046;0,738;131,34;113,84;1
"521";1,02;0,916;207,32;188,02;71,2;68,2;1,01;0,882;133,06;123,64;1
"522";1,06;0,902;215,36;193,56;72,4;67,8;1,052;0,924;139,32;124,72;1
"523";0,988;1,076;205,76;217,44;71,2;73;1,002;1,104;132,44;140,02;0
"524";1,06;1,028;217,06;205,48;72,6;71,2;1,124;1,048;140,88;131,98;1
"525";1,076;1,028;217,44;205,48;73;71,2;1,104;1,048;140,02;131,98;1
"526";0,994;0,954;206,08;202,48;69,6;69,4;1,002;0,95;133,94;131,82;0
"527";0,858;1,008;176,06;206,86;66,4;71,2;0,718;1,004;116,02;135,52;0
"528";1,064;0,966;212,76;200,82;74,2;69,4;1,09;0,99;138,74;130,66;1
"529";1,008;1,058;206,86;213,64;71,2;72;1,004;1,06;135,52;139,9;0
"530";0,978;0,988;214,42;201,14;69,6;70,2;1,016;0,958;139,28;131,62;0
"531";1,038;1,028;208,86;205,48;70,6;71,2;1,068;1,048;136,06;131,98;0
"532";1,076;1,038;217,44;208,86;73;70,6;1,104;1,068;140,02;136,06;1
"533";1,076;1,06;217,44;217,06;73;72,6;1,104;1,124;140,02;140,88;1
"534";0,83;0,902;181,06;195,24;69;67,2;0,836;0,878;120,1;125,44;0
"535";0,916;0,836;188,02;179,66;68,2;63,2;0,882;0,786;123,64;118,88;1
"536";1,044;0,896;220,9;190,02;70,8;68,4;1,054;0,882;143,06;127;1
"537";0,71;0,776;153,76;180,22;56,2;61,8;0,642;0,732;101,6;117,9;0
"538";0,82;0,878;177,38;182,06;64,8;66,2;0,794;0,846;116,3;118,46;1
"539";1,016;0,898;198,98;192,68;70,4;67,4;0,978;0,878;131,42;123,78;0
"540";0,726;0,878;166,76;182,06;62;66,2;0,708;0,846;111,14;118,46;1
"541";1,082;0,932;213,02;194,26;73;69,2;1,116;0,918;137,36;128,22;1
"542";0,998;0,916;221,56;191,66;69,8;68,6;1,058;0,91;142,96;126,02;0
"543";0,986;0,994;203,16;203,46;70;69,6;0,976;0,98;133,04;130,56;1
"544";1,002;1,06;209,86;215,36;69,8;72,4;0,98;1,052;137,2;139,32;0
"545";1,098;0,97;214,58;197,06;74,6;68,8;1,172;0,964;136,4;128,46;1
"546";0,94;1,01;201,14;207,26;68;71;0,952;0,996;131,58;137,44;0
"547";0,876;1,028;190,18;205,48;66,6;71,2;0,87;1,048;124,96;131,98;0
"548";0,89;0,988;197,58;195,88;67,4;71,8;0,876;0,984;128,66;125,06;0
"549";1,038;0,906;208,86;187,48;70,6;66,8;1,068;0,874;136,06;122,58;1
"550";0,994;0,884;207,26;191,7;71,6;65,4;1,006;0,86;137,04;129,26;0
"551";1,01;0,91;207,26;189,46;71;68,2;0,996;0,894;137,44;124,22;1
"552";0,988;1,022;195,88;209,22;71,8;70,6;0,984;1,016;125,06;135,18;1
"553";0,984;1,022;207,76;209,64;69,8;70,8;0,984;1,044;134,3;137,38;1
"554";1,06;0,898;215,36;188,22;72,4;67,6;1,052;0,878;139,32;123,4;1
"555";0,89;0,988;197,58;195,88;67,4;71,8;0,876;0,984;128,66;125,06;1
"556";0,97;1,034;193,34;220,64;70,2;71,8;0,94;1,064;128,8;142,1;0
"557";0,996;0,932;200,44;194,26;71,2;69,2;0,978;0,918;131,18;128,22;0
"558";0,86;0,902;178,78;193,56;65,8;67,8;0,828;0,924;120,74;124,72;0
"559";0,788;0,906;180,22;187,48;67,2;66,8;0,792;0,874;120,38;122,58;0
"560";1,146;0,94;229,9;201,14;75,2;68;1,186;0,952;146,66;131,58;1
"561";0,872;0,934;187,22;200,6;67,2;68,8;0,896;0,938;123,62;128,38;1
"562";0,994;0,91;207,26;189,46;71,6;68,2;1,006;0,894;137,04;124,22;1
"563";0,904;1,022;197,34;209,22;67,4;70,6;0,882;1,016;128,14;135,18;1
"564";0,94;0,884;201,14;191,7;68;65,4;0,952;0,86;131,58;129,26;1
"565";1,082;0,928;213,02;186,04;73;70,2;1,116;0,916;137,36;121,84;1
"566";0,97;0,996;199,9;200,44;69,8;71,2;0,964;0,978;131,06;131,18;0
"567";1,036;1,016;207,52;203,48;73,8;72,8;1,044;1,028;134,74;132,56;1
"568";0,898;1,052;188,22;211,88;67,6;73;0,878;1,092;123,4;137,3;1
"569";0,922;0,942;194,3;199;66,4;68,6;0,924;0,934;127,24;128,2;1
"570";0,794;0,76;178,06;181,22;62,8;57,8;0,766;0,756;118,32;120,36;1
"571";0,942;0,76;199;181,22;68,6;57,8;0,934;0,756;128,2;120,36;1
"572";0,922;0,794;194,3;178,06;66,4;62,8;0,924;0,766;127,24;118,32;1
"573";0,994;1,022;206,08;209,2;69,6;70,8;1,002;1,034;133,94;135,42;0
"574";1,022;0,918;209,2;201,6;70,8;68;1,034;0,95;135,42;131,46;1
"575";1,016;0,978;203,48;204,38;72,8;70,8;1,028;1,002;132,56;134,02;1
"576";0,966;1,012;203,44;200;69,6;71,6;0,97;1,01;134,08;132,72;1
"577";1,012;0,878;200;189,6;71,6;68,2;1,01;0,86;132,72;124,5;1
"578";0,994;0,906;206,08;187,16;69,6;67,4;1,002;0,854;133,94;125,74;1
"579";1,022;0,844;209,2;182,1;70,8;65;1,034;0,816;135,42;120,52;1
"580";0,978;0,836;204,38;184,84;70,8;65;1,002;0,804;134,02;122,54;1
"581";1,016;0,872;203,48;185,08;72,8;66,2;1,028;0,874;132,56;121,4;1
"582";0,938;0,814;197,28;189,2;68;63,6;0,922;0,802;129,4;124,86;1
"583";0,872;0,974;185,08;197,56;66,2;71,2;0,874;0,974;121,4;129,76;1
"584";1;0,836;202,92;184,84;70,2;65;0,998;0,804;131,46;122,54;0
"585";1,098;0,964;222,62;200,36;73,8;70;1,148;0,982;143,92;130,36;1
"586";0,964;0,984;200,36;208,6;70;68,6;0,982;0,99;130,36;135,36;1
"587";1,098;0,964;222,62;200,36;73,8;70;1,148;0,982;143,92;130,36;1
"588";0,83;0,71;181,06;153,76;69;56,2;0,836;0,642;120,1;101,6;1
"589";1;0,764;202,92;169,12;70,2;59;0,998;0,736;131,46;111,96;1
"590";0,912;0,864;194,66;191,88;67,4;64;0,908;0,852;128,94;126,14;1
"591";0,938;0,768;197,28;187,84;68;65;0,922;0,806;129,4;128,06;1
"592";0,872;0,8;185,08;177,94;66,2;62,4;0,874;0,72;121,4;118,74;1
"593";0,916;0,776;188,02;180,22;68,2;61,8;0,882;0,732;123,64;117,9;1
"594";1,09;1,016;214,86;203,48;74,2;72,8;1,138;1,028;141,2;132,56;1
"595";0,91;0,814;193,58;189,2;68,2;63,6;0,868;0,802;129,76;124,86;0
"596";1,09;1;214,86;202,92;74,2;70,2;1,138;0,998;141,2;131,46;1
