"";"V1";"V2"
"408";"MLT Esports";"GodLike Esports"
"409";"The Guard";"FaZe Clan"
"410";"9z Team";"All Knights"
"411";"G2 Esports";"Oxygen Esports"
"412";"INFINITY";"Optix"
"413";"KONE eSC";"Invincible Gaming"
"414";"Vipers Clan";"Stream Raiders Nacague"
"415";"Bilibili Gaming";"EDward Gaming"
"416";"Boss G KDM";"ZOL Esports"
"417";"Weibo Gaming";"FunPlus Phoenix"
"418";"Lethal Esports";"Reckoning Esports"
"419";"Team Liquid Brazil";"HUMMER Esports"
"420";"M80";"Moist Moguls"
"421";"The Guard";"Oxygen Esports"
"422";"LOUD GC";"ODDIK Bright"
"423";"TYLOO";"Totoro Gaming"
"424";"ZETA DIVISION";"DRX"
"425";"Attacking Soul Esports";"Number One Player"
"426";"T1";"Global Esports"
"427";"Dragon Ranger Gaming";"NTER"
"428";"Gods Reign";"GodLike Esports"
"429";"FUSION";"Six Karma"
"430";"Skull Cracker";"E-Xolos LAZER"
"431";"Weibo Gaming";"Invincible Gaming"
"432";"Paper Rex";"DetonatioN FocusMe"
"433";"Dragon Ranger Gaming";"Bilibili Gaming"
"434";"Team Secret";"Talon Esports"
"435";"Attacking Soul Esports";"KONE eSC"
"436";"Case Esports";"Papara SuperMassive"
"437";"Orangutan";"Aster Army"
"438";"Six Karma";"E-Xolos LAZER"
"439";"Rex Regum Qeon";"Gen.G"
"440";"FNATIC";"Giants Gaming"
"441";"KOI";"Natus Vincere"
"442";"9z Team GC";"KRÜ BLAZE"
"443";"BLUE BEES.ESP";"Crest Gaming Zst"
"444";"Hike Digital Esports";"BOOM Esports"
"445";"Bigetron Arctic";"Le Crapaud"
"446";"Next Esports";"SYSTEM e-Sports"
"447";"ARF TEAM";"Dewa United Esports"
"448";"Team Heretics";"FUT Esports"
"449";"Team Liquid";"Team Vitality"
"450";"Disguised";"TSM"
"451";"SunXet Club Fem";"Globant Emerald Team"
"452";"FaZe Clan";"G2 Esports"
"453";"FiRePOWER";"Akave Girls"
"454";"ARF TEAM";"Dominatus"
"455";"NTER";"Totoro Gaming"
"456";"FAV gaming";"BLUE BEES.ESP"
"457";"Dewa United Esports";"Alter Ego"
"458";"ZOL Esports";"NAOS"
"459";"FunPlus Phoenix";"Number One Player"
"460";"Made in Thailand";"Sharper Esport"
"461";"Sengoku Gaming";"SYSTEM e-Sports"
"462";"BLEED";"X10 Esports"
"463";"Le Crapaud";"Hike Digital Esports"
"464";"Stream Raiders Nacague";"Oasis Gaming"
"465";"EDward Gaming";"TYLOO"
"466";"CRIT Esports";"Capybara"
"467";"Medal Esports";"Orangutan"
"468";"Natus Vincere";"Giants Gaming"
"469";"Karmine Corp";"BBL Esports"
"470";"M80";"The Guard"
"471";"Oxygen Esports";"TSM"
"472";"Awake Gaming Female";"Leviatán GC"
"473";"Moist Moguls";"G2 Esports"
"474";"SCARZ";"Crest Gaming Zst"
"475";"Invincible Gaming";"FunPlus Phoenix"
"476";"Dominatus";"Dewa United Esports"
"477";"Jadeite";"Next Esports"
"478";"GameLab Alpha";"Rambutan ni Tatay"
"479";"Totoro Gaming";"Bilibili Gaming"
"480";"ONE Team Esports";"Anti Eco Eco Club"
"481";"Bigetron Arctic";"ARF TEAM"
"482";"Attack All Around";"XERXIA Esports"
"483";"IGZIST";"NORTHEPTION"
"484";"Number One Player";"KONE eSC"
"485";"Ghost CommandoS";"Oblivion Force"
"486";"Team NKT";"FULL SENSE"
"487";"MLT Esports";"Gods Reign"
"488";"Team Liquid";"FUT Esports"
"489";"KOI";"Team Vitality"
"490";"9z Team";"INFINITY"
"491";"Crest Gaming Zst";"FAV gaming"
"492";"Dragon Ranger Gaming";"EDward Gaming"
"493";"Dominatus";"Bigetron Arctic"
"494";"Next Esports";"Sengoku Gaming"
"495";"Weibo Gaming";"Attacking Soul Esports"
"496";"S2 Esports";"ROA"
"497";"Alter Ego";"BOOM Esports"
"498";"XERXIA Esports";"Team NKT"
"499";"IGZIST";"Focus e-Sports"
"500";"BLEED";"Kizuna Esports"
"501";"MVP Esports";"ZOL Esports"
"502";"NTER";"TYLOO"
"503";"UTT Esports";"Ghetto Artist"
"504";"Attack All Around";"Capybara"
"505";"X10 Esports";"Bikini Bottom Pratahouse"
"506";"Aster Army";"Lethal Esports"
"507";"FNATIC";"BBL Esports"
"508";"Team Heretics";"Karmine Corp"
"509";"FUSION";"Six Karma"
"510";"Number One Player";"Weibo Gaming"
"511";"ZETA DIVISION";"Rex Regum Qeon"
"512";"EDward Gaming";"NTER"
"513";"Talon Esports";"T1"
"514";"FunPlus Phoenix";"KONE eSC"
"515";"Galakticos";"Papara SuperMassive"
"516";"SAW";"EX0TIK GAMING"
"517";"Laterious";"ALTERNATE aTTaX"
"518";"GodLike Esports";"Velocity Gaming"
"519";"FTW Esports";"EGN Esports"
"520";"Outplayed";"Macko Esports"
"521";"GTZ Esports";"VIKINGS Fourteen"
"522";"Fenerbahçe Esports";"S2G Esports"
"523";"Panthers Esports";"Impulse GW"
"524";"NOM Esports";"Anonymo Esports"
"525";"Sentinels";"100 Thieves"
"526";"DSYRE";"HMBLE"
"527";"Enterprise Esports";"Rapid Ninjas"
"528";"QLASH";"GMT Esports"
"529";"KRÜ Esports";"FURIA"
"530";"Totoro Gaming";"Dragon Ranger Gaming"
"531";"Team Secret";"Paper Rex"
"532";"Invincible Gaming";"Attacking Soul Esports"
"533";"Gen.G";"DetonatioN FocusMe"
"534";"Bilibili Gaming";"TYLOO"
"535";"Panthers Esports";"VIKINGS Fourteen"
"536";"MOUZ";"Unicorns of Love"
"537";"Medal Esports";"Reckoning Esports"
"538";"SAW";"Impulse GW"
"539";"Zero Tenacity";"Diamant Esports"
"540";"FTW Esports";"GTZ Esports"
"541";"Rapid Ninjas";"Acend"
"542";"Digital Athletics";"İstanbul Wildcats"
"543";"GMT Esports";"DSYRE"
"544";"EX0TIK GAMING";"EGN Esports"
"545";"NOM Esports";"Enterprise Esports"
"546";"LOUD";"MIBR"
"547";"Outplayed";"QLASH"
"548";"TBD";"GONext Esports"
"549";"Axolotl";"Macko Esports"
"550";"Evil Geniuses";"Cloud9"
"551";"Global Esports";"DRX"
"552";"FTW Esports";"Panthers Esports"
"553";"EX0TIK GAMING";"GTZ Esports"
"554";"Les Petits Bouffons";"who cars?"
"555";"Axolotl";"HMBLE"
"556";"SAW";"EGN Esports"
"557";"Ovation eSports";"MOUZ"
"558";"Fire Flux Esports";"Papara SuperMassive"
"559";"Outplayed";"DSYRE"
"560";"VIKINGS Fourteen";"Impulse GW"
"561";"Leviatán";"NRG Esports"
"562";"GMT Esports";"Macko Esports"
"563";"ALTERNATE aTTaX";"Unicorns of Love"
"564";"FOKUS";"Coalesce"
"565";"Hike Digital Esports";"Bigetron Arctic"
"566";"PanDa";"TJD Esports Club"
"567";"ARF TEAM";"BOOM Esports"
"568";"GameLab Alpha";"Stream Raiders Nacague"
"569";"Dewa United Esports";"Le Crapaud"
"570";"NAOS";"Oasis Gaming"
"571";"Globant Emerald Team";"Optix Fem"
"572";"Awake Gaming Female";"Akave Girls"
"573";"Invincible Gaming";"PanDa"
"574";"Alter Ego";"Dominatus"
"575";"Hike Digital Esports";"Dewa United Esports"
"576";"Night Wings Gaming";"Gank Gaming"
"577";"Sharper Esport";"CRIT Esports"
"578";"Enigma Gaming";"Teo Teo Teo"
"579";"Le Crapaud";"BOOM Esports"
"580";"Rambutan ni Tatay";"NAOS"
"581";"Made in Thailand";"FULL SENSE"
"582";"Four Angry Men";"NewHappy Esports"
"583";"Reckoning Esports";"Aster Army"
"584";"Team Vitality";"FUT Esports"
"585";"SunXet Club Fem";"9z Team GC"
"586";"Disguised GC";"SHIFT X"
"587";"Ariana Grande Perfume";"Grind Time"
"588";"FUSION X";"FiRePOWER"
"589";"Royal Never Give Up";"Kingzone"
"590";"Dominatus";"Hike Digital Esports"
"591";"Koopa Troopas";"Mammoth ESC"
"592";"Rare Atom";"Monarch Effect"
"593";"xyz";"NerdPunt"
"594";"S2 Esports";"Ghetto Artist"
"595";"Le Crapaud";"Alter Ego"
"596";"Attack All Around";"Sharper Esport"
"597";"BLEED";"Bikini Bottom Pratahouse"
"598";"ROA";"Oblivion Force"
"599";"FULL SENSE";"CRIT Esports"
"600";"Douyu Gaming";"KunPeng Gaming"
"601";"Kizuna Esports";"Teo Teo Teo"
"602";"Velocity Gaming";"MLT Esports"
"603";"Natus Vincere";"BBL Esports"
"604";"FNATIC";"Team Heretics"
"605";"ODDIK";"Liberty"
