"","Data","RW","RL","Adversario","Resultados"
"160",2022-01-11,"13","3","KABAHbl","Win"
"161",2022-01-10,"13","6","next_viigraem","Win"
"162",2021-08-14,"6","13","SuperMassive Blaze","Lose"
"163",2021-08-12,"15","13","Fire Flux Esports","Win"
"164",2021-07-08,"13","9","Team Liquid","Win"
"165",2021-07-07,"13","4","G2 Esports","Win"
"166",2021-04-09,"13","9","Guild Esports","Win"
"167",2021-03-30,"13","2","Wolfix Gaming","Win"
"168",2021-03-20,"6","13","Acend","Lose"
"169",2021-03-18,"13","11","Team BDS","Win"
"170",2021-03-13,"13","4","Guild Esports","Win"
"171",2020-10-03,"13","7","LOL","Win"
"172",2020-10-03,"13","1","5DDOGS","Win"
"173",2020-09-13,"13","7","G2 Esports","Win"
"174",2020-09-13,"13","11","Team Liquid","Win"
"175",2020-09-12,"3","13","G2 Esports","Lose"
"176",2020-08-23,"13","6","DPE","Win"
"177",2020-08-22,"13","3","AoeXe","Win"
"178",2020-08-16,"5","13","G2 Esports","Lose"
"179",2020-08-15,"10","13","Ninjas in Pyjamas","Lose"
"180",2020-08-13,"13","0","ex-Giants Gaming","Win"
"181",2020-08-12,"13","9","G2 Esports","Win"
"182",2022-09-16,"11","13","DRX","Lose"
"183",2022-09-11,"13","6","Leviatán","Win"
"184",2022-09-08,"13","9","KRÜ Esports","Win"
"185",2022-09-03,"14","12","KRÜ Esports","Win"
"186",2022-07-24,"7","13","Paper Rex","Lose"
"187",2022-07-23,"13","8","OpTic Gaming","Win"
"188",2022-07-14,"10","13","FNATIC","Lose"
"189",2022-06-26,"5","13","FNATIC","Lose"
"190",2022-06-19,"13","11","Acend","Win"
"191",2022-06-18,"6","13","FNATIC","Lose"
"192",2022-06-17,"8","13","Team Liquid","Lose"
"193",2022-05-14,"10","13","FNATIC","Lose"
"194",2022-03-27,"13","6","G2 Esports","Win"
"195",2022-03-18,"13","11","Natus Vincere","Win"
"196",2022-02-18,"14","12","Gambit Esports","Win"
"197",2022-01-16,"12","14","Natus Vincere","Lose"
"198",2022-01-13,"9","13","KPI Gaming","Lose"
"199",2022-01-12,"13","10","Tactical Five","Win"
"200",2022-01-11,"13","2","KABAHbl","Win"
"201",2022-01-10,"13","2","next_viigraem","Win"
"202",2021-08-14,"13","4","forZe","Win"
"203",2021-07-09,"14","12","G2 Esports","Win"
"204",2021-07-08,"13","7","Acend","Win"
"205",2021-07-07,"13","4","G2 Esports","Win"
"206",2021-07-02,"14","12","Team Vitality","Win"
"207",2021-07-01,"10","13","Guild Esports","Lose"
"208",2021-04-30,"10","13","Gambit Esports","Lose"
"209",2021-04-23,"13","11","Gambit Esports","Win"
"210",2021-04-09,"13","5","Guild Esports","Win"
"211",2021-04-01,"13","7","Ninjas in Pyjamas","Win"
"212",2021-04-01,"13","11","volvo peek","Win"
"213",2021-03-20,"12","14","Acend","Lose"
"214",2021-03-13,"13","2","Guild Esports","Win"
"215",2022-09-09,"5","13","DRX","Lose"
"216",2022-09-05,"5","13","XSET","Lose"
"217",2022-07-24,"13","9","Paper Rex","Win"
"218",2022-07-16,"3","13","Guild Esports","Lose"
"219",2022-07-12,"6","13","DRX","Lose"
"220",2022-06-24,"9","13","M3 Champions","Lose"
"221",2022-06-19,"13","3","Acend","Win"
"222",2022-06-10,"13","9","Acend","Win"
"223",2022-05-29,"13","11","FOKUS","Win"
"224",2022-03-27,"8","13","G2 Esports","Lose"
"225",2022-03-18,"13","6","Natus Vincere","Win"
"226",2022-01-16,"13","5","Natus Vincere","Win"
"227",2022-01-14,"13","5","One Breath Gaming","Win"
"228",2022-01-14,"13","6","Aim.Attack","Win"
"229",2022-09-05,"13","4","XSET","Win"
"230",2022-07-24,"13","7","Paper Rex","Win"
"231",2022-07-23,"13","7","OpTic Gaming","Win"
"232",2022-07-22,"13","5","FNATIC","Win"
"233",2022-07-18,"13","5","DRX","Win"
"234",2022-07-13,"13","9","NORTHEPTION","Win"
"235",2022-07-12,"6","13","DRX","Lose"
"236",2022-06-25,"13","4","Guild Esports","Win"
"237",2022-06-24,"13","4","M3 Champions","Win"
"238",2022-06-18,"9","13","FNATIC","Lose"
"239",2022-05-29,"13","1","FOKUS","Win"
"240",2022-05-21,"13","9","G2 Esports","Win"
"241",2022-05-14,"3","13","FNATIC","Lose"
"242",2022-03-13,"13","5","LDN UTD","Win"
"243",2022-02-18,"17","15","Gambit Esports","Win"
"244",2022-01-15,"13","7","5MOKES","Win"
"245",2022-01-14,"13","1","One Breath Gaming","Win"
"246",2022-01-12,"13","7","Tactical Five","Win"
"247",2022-01-11,"13","1","QLF Clan","Win"
"248",2021-11-04,"6","13","Giants Gaming","Lose"
"249",2021-11-04,"3","13","FNATIC","Lose"
"250",2022-09-13,"11","13","XSET","Lose"
"251",2022-09-05,"7","13","XSET","Lose"
