"","Data","RW","RL","Adversario","Resultados"
"158",2022-06-18,"13","6","FunPlus Phoenix","Win"
"159",2022-06-12,"13","9","G2 Esports","Win"
"160",2022-05-28,"13","8","Acend","Win"
"161",2022-05-20,"13","0","OG LDN UTD","Win"
"162",2022-05-14,"13","10","FunPlus Phoenix","Win"
"163",2022-04-12,"11","13","ZETA DIVISION","Lose"
"164",2022-03-26,"2","13","G2 Esports","Lose"
"165",2022-03-11,"13","9","SuperMassive Blaze","Win"
"166",2022-02-19,"13","6","BBL Esports","Win"
"167",2022-02-11,"13","8","G2 Esports","Win"
"168",2021-12-09,"13","6","KRÜ Esports","Win"
"169",2021-12-03,"13","10","Vision Strikers","Win"
"170",2021-12-01,"13","11","Cloud9","Win"
"171",2021-11-05,"8","13","Team Liquid","Lose"
"172",2021-09-06,"13","9","TENSTAR","Win"
"173",2021-09-05,"13","11","SAW","Win"
"174",2021-08-31,"14","12","Finest","Win"
"175",2021-08-31,"13","2","19esports","Win"
"176",2021-08-26,"13","8","Legendary Donkey Destroyers","Win"
"177",2021-07-30,"13","3","TENSTAR","Win"
"178",2021-07-29,"7","13","Team BDS","Lose"
"179",2021-07-29,"13","4","Giants Gaming","Win"
"180",2021-07-28,"13","7","Alliance","Win"
"181",2021-07-08,"9","13","G2 Esports","Lose"
"182",2021-07-08,"6","13","Guild Esports","Lose"
"183",2021-07-02,"13","1","Wave Esports","Win"
"184",2021-06-30,"13","5","TENSTAR","Win"
"185",2021-05-28,"14","12","Version1","Win"
"186",2021-05-27," 13","4","X10 Esports","Win"
"187",2021-05-25,"11","13","Sentinels","Lose"
"188",2021-05-24,"13","4","KRÜ Esports","Win"
"189",2021-05-02,"7","13","Team Liquid","Lose"
"190",2021-05-01,"13","6","Gambit Esports","Win"
"191",2021-04-24,"13","7","Oxygen Esports","Win"
"192",2021-04-18,"13","10","Team Liquid","Win"
"193",2021-04-17,"13","10","Team Vitality","Win"
"194",2021-04-12,"1","13","Acend","Lose"
"195",2021-04-11,"13","4","Ovation eSports","Win"
"196",2021-04-01,"6","13","Alliance","Lose"
"197",2021-03-31,"13","8","ATRAVS","Win"
"198",2021-03-30,"6","13","Team Queso","Lose"
"199",2021-02-17,"13","9","Pit Stop","Win"
"200",2021-02-16,"13","8","Swag Silicone","Win"
"201",2021-02-04,"13","4","Patchwork","Win"
"202",2022-10-22,"13","7","Geekay Esports","Win"
"203",2022-09-05,"13","7","FURIA","Win"
"204",2022-03-26,"9","13","G2 Esports","Lose"
"205",2021-11-04,"13","2","Anubis Gaming","Win"
"206",2021-07-31,"10","13","Team Liquid","Lose"
"207",2021-07-30,"13","9","TENSTAR","Win"
"208",2021-07-07,"13","11","Team Liquid","Win"
"209",2021-07-02,"9","13","Wave Esports","Lose"
"210",2022-10-18,"13","5","Team RA'AD","Win"
"211",2022-09-13,"9","13","DRX","Lose"
"212",2022-09-10,"11","13","XSET","Lose"
"213",2022-07-22,"5","13","FunPlus Phoenix","Lose"
"214",2022-07-18,"14","12","Leviatán","Win"
"215",2022-06-18,"13","9","FunPlus Phoenix","Win"
"216",2022-05-14,"13","3","FunPlus Phoenix","Win"
"217",2022-04-12,"7","13","ZETA DIVISION","Lose"
"218",2022-03-23,"13","11","M3 Champions","Win"
"219",2021-12-03,"13","6","Vision Strikers","Win"
"220",2021-12-01,"14","12","Cloud9","Win"
"221",2021-11-04,"13","3","FunPlus Phoenix","Win"
"222",2022-09-10,"8","13","XSET","Lose"
"223",2022-09-02," 10","","100 Thieves",NA
